Local: ,2025-05-08 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1746655200000.0
Timestamp,Seq No.,ECG data
1746694876597.969,21,42209
1746694876598.969,21,42241
1746694876599.969,22,42269
1746694876600.969,22,42298
1746694876601.969,22,42330
1746694876602.844,22,42359
1746694876603.844,22,42384
1746694876604.844,22,42413
1746694876605.844,22,42441
1746694876606.844,22,42471
1746694876607.844,22,42502
1746694876608.844,22,42525
1746694876609.844,22,42559
1746694876610.844,23,42586
1746694876611.844,23,42612
1746694876612.844,23,42634
1746694876613.844,23,42649
1746694876614.844,23,42671
1746694876615.844,23,42689
1746694876616.844,23,42708
1746694876617.844,23,42729
1746694876618.75,23,42751
1746694876619.75,23,42765
1746694876620.75,23,42777
1746694876621.75,24,42793
1746694876622.75,24,42804
1746694876623.75,24,42817
1746694876624.75,24,42829
1746694876625.75,24,42835
1746694876626.75,24,42851
1746694876627.75,24,42861
1746694876628.75,24,42877
1746694876629.75,24,42889
1746694876630.75,24,42899
1746694876631.75,24,42917
1746694876632.75,25,42933
1746694876633.75,25,42949
1746694876634.688,25,42966
1746694876635.687,25,42983
1746694876636.688,25,42994
1746694876637.687,25,43007
1746694876638.688,25,43020
1746694876639.687,25,43033
1746694876640.688,25,43048
1746694876641.687,25,43066
1746694876642.688,25,43080
1746694876643.687,26,43095
1746694876644.687,26,43109
1746694876645.688,26,43124
1746694876646.687,26,43129
1746694876647.688,26,43144
1746694876648.6868,26,43153
1746694876649.688,26,43160
1746694876650.531,26,43161
1746694876651.531,26,43164
1746694876652.531,26,43169
1746694876653.531,26,43174
1746694876654.531,27,43178
1746694876655.531,27,43183
1746694876656.531,27,43179
1746694876657.531,27,43181
1746694876658.531,27,43179
1746694876659.531,27,43179
1746694876660.531,27,43180
1746694876661.531,27,43182
1746694876662.531,27,43184
1746694876663.531,27,43185
1746694876664.531,27,43185
1746694876665.531,28,43188
1746694876666.469,28,43188
1746694876667.469,28,43187
1746694876668.469,28,43189
1746694876669.4692,28,43190
1746694876670.469,28,43193
1746694876671.469,28,43195
1746694876672.469,28,43192
1746694876673.469,28,43190
1746694876674.469,28,43185
1746694876675.469,28,43174
1746694876676.469,29,43167
1746694876677.469,29,43160
1746694876678.469,29,43164
1746694876679.469,29,43162
1746694876680.469,29,43159
1746694876681.469,29,43156
1746694876682.344,29,43156
1746694876683.344,29,43149
1746694876684.344,29,43147
1746694876685.344,29,43140
1746694876686.344,29,43132
1746694876687.344,30,43123
1746694876688.344,30,43116
1746694876689.344,30,43105
1746694876690.344,30,43094
1746694876691.344,30,43088
1746694876692.344,30,43083
1746694876693.3442,30,43076
1746694876694.344,30,43071
1746694876695.344,30,43065
1746694876696.344,30,43063
1746694876697.344,30,43063
1746694876698.25,31,43057
1746694876699.25,31,43052
1746694876700.25,31,43043
1746694876701.25,31,43041
1746694876702.25,31,43035
1746694876703.25,31,43025
1746694876704.25,31,43018
1746694876705.25,31,43004
1746694876706.25,31,42987
1746694876707.25,31,42972
