Untitled1.acq
Graph Created on: 2025-05-08 10:59:51.363
Recording on: 2025-05-08 11:01:46.417
0.5 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, X, RSPEC-R
mV
CH1	CH9	
254970 samples	254970 samples	
0.949402	-0.0636292	
0.947266	-0.0650024	
0.945129	-0.0645447	
0.942688	-0.063324	
0.940552	-0.0631714	
0.937805	-0.0628662	
0.935669	-0.063324	
0.932922	-0.0627136	
0.930786	-0.0613403	
0.928345	-0.0601196	
0.925598	-0.0578308	
0.923157	-0.0556946	
0.918884	-0.052948	
0.915833	-0.0506592	
0.913086	-0.0476074	
0.91095	-0.0453186	
0.908813	-0.0456238	
0.906372	-0.0462341	
0.90332	-0.0482178	
0.901184	-0.0502014	
0.898438	-0.0505066	
0.895691	-0.0500488	
0.89325	-0.0480652	
0.891113	-0.0466919	
0.890198	-0.0466919	
0.888367	-0.0483704	
0.884399	-0.0506592	
0.881958	-0.0538635	
0.878906	-0.0578308	
0.876465	-0.0595093	
0.873413	-0.0611877	
0.870972	-0.063324	
0.871277	-0.065155	
0.869446	-0.0648499	
0.866699	-0.0634766	
0.865173	-0.0628662	
0.863647	-0.0631714	
0.861816	-0.0627136	
0.85907	-0.0631714	
0.856934	-0.0628662	
0.854492	-0.0631714	
0.852661	-0.0628662	
0.849609	-0.0634766	
0.847473	-0.0630188	
0.844727	-0.0631714	
0.842896	-0.0627136	
0.839233	-0.0605774	
0.837402	-0.0592041	
0.835266	-0.0578308	
0.830688	-0.0559998	
0.827637	-0.0561523	
0.827332	-0.0584412	
0.8255	-0.06073	
0.820618	-0.0622559	
0.817566	-0.0630188	
0.814514	-0.0624084	
0.813599	-0.059967	
0.810547	-0.0559998	
0.808105	-0.052948	
0.805359	-0.0486755	
0.803528	-0.045929	
0.800781	-0.0436401	
0.796204	-0.0402832	
0.793152	-0.0357056	
0.790405	-0.0315857	
0.788574	-0.0256348	
0.785828	-0.019989	
0.783386	-0.0166321	
0.78064	-0.0152588	
0.776367	-0.0167847	
0.773926	-0.0195313	
0.770569	-0.0238037	
0.768738	-0.0286865	
0.766602	-0.0340271	
0.762024	-0.0386047	
0.758362	-0.0427246	
0.756226	-0.045929	
0.754089	-0.0489807	
0.751343	-0.0543213	
0.746765	-0.0602722	
0.744324	-0.0656128	
0.743713	-0.0706482	
0.740967	-0.0749207	
0.736389	-0.0770569	
0.733643	-0.0770569	
0.731201	-0.0740051	
0.72937	-0.0671387	
0.726624	-0.0584412	
0.724182	-0.0509644	
0.722046	-0.0442505	
0.717163	-0.0398254	
0.714417	-0.0395203	
0.714111	-0.0398254	
0.711365	-0.0387573	
0.707703	-0.0378418	
0.704346	-0.0357056	
0.701599	-0.0340271	
0.699768	-0.0334167	
0.697632	-0.0315857	
0.693359	-0.0311279	
0.690002	-0.032196	
0.687561	-0.0352478	
0.683594	-0.0364685	
0.679932	-0.0395203	
0.67749	-0.0422668	
0.673828	-0.0431824	
0.66803	-0.0434875	
0.666199	-0.0428772	
0.663147	-0.0408936	
0.6604	-0.0390625	
0.657654	-0.0369263	
0.654297	-0.0346375	
0.65094	-0.0315857	
0.648193	-0.0286865	
0.644531	-0.0271606	
0.640869	-0.0263977	
0.638733	-0.0270081	
0.635681	-0.0297546	
0.632935	-0.0325012	
0.629578	-0.0334167	
0.623779	-0.0326538	
0.621643	-0.0311279	
0.617981	-0.0288391	
0.614014	-0.0262451	
0.612183	-0.0247192	
0.608826	-0.0239563	
0.604553	-0.0238037	
0.59967	-0.0241089	
0.596619	-0.0267029	
0.593872	-0.0288391	
0.5896	-0.032196	
0.587463	-0.0369263	
0.583496	-0.0442505	
0.579529	-0.0534058	
0.574951	-0.062561	
0.572205	-0.0706482	
0.568848	-0.0770569	
0.567322	-0.0817871	
0.56427	-0.0848389	
0.559998	-0.085907	
0.55481	-0.0849915	
0.552673	-0.0822449	
0.549622	-0.0779724	
0.545654	-0.075531	
0.542908	-0.072937	
0.540161	-0.0706482	
0.536194	-0.0682068	
0.533142	-0.0648499	
0.530396	-0.06073	
0.526123	-0.055542	
0.523071	-0.0500488	
0.52063	-0.0440979	
0.518799	-0.0386047	
0.515442	-0.0337219	
0.511475	-0.0294495	
0.508728	-0.0262451	
0.505676	-0.0242615	
0.50354	-0.0244141	
0.500793	-0.0265503	
0.496521	-0.0285339	
0.494385	-0.0312805	
0.490417	-0.0331116	
0.48645	-0.0341797	
0.483704	-0.0366211	
0.480652	-0.0404358	
0.479126	-0.0450134	
0.476379	-0.0511169	
0.472107	-0.0575256	
0.46936	-0.0630188	
0.467224	-0.0674438	
0.463867	-0.0697327	
0.462036	-0.0700378	
0.458984	-0.070343	
0.458984	-0.070343	
0.457764	-0.0709534	
0.444336	-0.0706482	
0.427551	-0.070343	
0.420837	-0.070343	
0.417786	-0.0704956	
0.412903	-0.0650024	
0.411377	-0.0549316	
0.407104	-0.0520325	
0.404663	-0.0540161	
0.401917	-0.0575256	
0.399475	-0.0605774	
0.397949	-0.0624084	
0.392761	-0.0624084	
0.390625	-0.0604248	
0.388184	-0.0582886	
0.383606	-0.0563049	
0.381165	-0.055542	
0.377502	-0.0558472	
0.374146	-0.055542	
0.371399	-0.0564575	
0.368652	-0.0578308	
0.366516	-0.0585938	
0.363159	-0.059967	
0.359497	-0.0601196	
0.356445	-0.0587463	
0.355835	-0.0576782	
0.353088	-0.055542	
0.349731	-0.0540161	
0.34668	-0.0527954	
0.344238	-0.0508118	
0.339661	-0.0476074	
0.337219	-0.0431824	
0.333557	-0.0392151	
0.331726	-0.0369263	
0.330505	-0.035553	
0.328979	-0.0341797	
0.324707	-0.0340271	
0.321655	-0.0337219	
0.318909	-0.0331116	
0.316772	-0.0317383	
0.314331	-0.030365	
0.310974	-0.0294495	
0.309448	-0.0288391	
0.305176	-0.0291443	
0.302124	-0.0312805	
0.299683	-0.032959	
0.297241	-0.0337219	
0.2948	-0.0341797	
0.292358	-0.0360107	
0.289917	-0.0384521	
0.28717	-0.0415039	
0.285339	-0.0468445	
0.282593	-0.0520325	
0.280151	-0.0563049	
0.27832	-0.0604248	
0.274963	-0.0630188	
0.270996	-0.0654602	
0.265503	-0.0668335	
0.262146	-0.065155	
0.262451	-0.0630188	
0.260315	-0.0604248	
0.257568	-0.0584412	
0.255737	-0.0556946	
0.251465	-0.0538635	
0.248413	-0.0526428	
0.244751	-0.0511169	
0.243225	-0.0509644	
0.240784	-0.0506592	
0.238037	-0.0506592	
0.235596	-0.0508118	
0.231323	-0.0515747	
0.229187	-0.0526428	
0.22644	-0.0523376	
0.223694	-0.0505066	
0.220947	-0.0483704	
0.216675	-0.045929	
0.214233	-0.0434875	
0.212097	-0.0408936	
0.20874	-0.0396729	
0.206909	-0.0405884	
0.204163	-0.0411987	
0.201111	-0.0413513	
0.197754	-0.0428772	
0.194397	-0.0431824	
0.192261	-0.0427246	
0.189514	-0.0428772	
0.186768	-0.0454712	
0.184326	-0.0476074	
0.184631	-0.0482178	
0.181885	-0.0482178	
0.177917	-0.0483704	
0.175171	-0.0474548	
0.172119	-0.045929	
0.169678	-0.0422668	
