Untitled1.acq
Graph Created on: 2025-05-08 10:32:57.656
Recording on: 2025-05-08 10:44:02.601
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, X, RSPEC-R
mV
CH1	CH9	
168337 samples	168337 samples	
-0.18158	-0.0437927	
-0.184021	-0.0440979	
-0.185547	-0.0436401	
-0.189209	-0.043335	
-0.189209	-0.045166	
-0.195313	-0.0457764	
-0.197144	-0.045929	
-0.198364	-0.0474548	
-0.19928	-0.0474548	
-0.202942	-0.0480652	
-0.203857	-0.0502014	
-0.205994	-0.0485229	
-0.20874	-0.0508118	
-0.208435	-0.0531006	
-0.210571	-0.0537109	
-0.209351	-0.0552368	
-0.210876	-0.0543213	
-0.213013	-0.0508118	
-0.211487	-0.0450134	
-0.211182	-0.045929	
-0.211487	-0.0460815	
-0.209045	-0.0460815	
-0.208435	-0.0442505	
-0.206299	-0.0436401	
-0.203552	-0.0434875	
-0.205994	-0.0431824	
-0.203857	-0.0436401	
-0.203857	-0.0450134	
-0.204163	-0.0473022	
-0.201721	-0.0480652	
-0.201416	-0.0463867	
-0.198059	-0.0466919	
-0.198975	-0.0476074	
-0.198975	-0.0483704	
-0.19928	-0.0485229	
-0.194702	-0.0498962	
-0.194092	-0.0523376	
-0.196838	-0.052948	
-0.193481	-0.0508118	
-0.195618	-0.0444031	
-0.194092	-0.0436401	
-0.195923	-0.0436401	
-0.198364	-0.0457764	
-0.198669	-0.045929	
-0.198364	-0.0460815	
-0.198364	-0.0483704	
-0.198975	-0.0498962	
-0.198975	-0.0488281	
-0.198975	-0.0483704	
-0.200806	-0.0506592	
-0.203857	-0.0508118	
-0.203857	-0.0508118	
-0.203247	-0.0506592	
-0.203857	-0.0488281	
-0.20752	-0.0445557	
-0.20874	-0.0434875	
-0.20874	-0.0436401	
-0.209045	-0.0419617	
-0.20813	-0.0408936	
-0.209045	-0.0427246	
-0.209351	-0.0457764	
-0.20874	-0.0457764	
-0.208435	-0.0457764	
-0.20874	-0.045929	
-0.204468	-0.0482178	
-0.206299	-0.0483704	
-0.203552	-0.0483704	
-0.203552	-0.0483704	
-0.203857	-0.0468445	
-0.203857	-0.045929	
-0.204468	-0.045929	
-0.202026	-0.0473022	
-0.203247	-0.0474548	
-0.204163	-0.0419617	
-0.204163	-0.0382996	
-0.204468	-0.035553	
-0.205383	-0.0364685	
-0.206604	-0.0379944	
-0.20874	-0.0382996	
-0.206604	-0.0411987	
-0.20874	-0.043335	
-0.211182	-0.0436401	
-0.213013	-0.0456238	
-0.213623	-0.0453186	
-0.213318	-0.0415039	
-0.217896	-0.0410461	
-0.218506	-0.0390625	
-0.218506	-0.042572	
-0.218506	-0.0436401	
-0.220337	-0.0456238	
-0.218811	-0.0457764	
-0.223083	-0.0436401	
-0.221558	-0.0453186	
-0.223083	-0.0473022	
-0.223083	-0.0482178	
-0.223694	-0.0465393	
-0.224915	-0.0415039	
-0.227966	-0.0370789	
-0.227966	-0.0358582	
-0.228577	-0.0360107	
-0.228271	-0.0375366	
-0.230408	-0.0401306	
-0.233459	-0.0427246	
-0.237427	-0.0447083	
-0.238342	-0.043335	
-0.240173	-0.0411987	
-0.242615	-0.0413513	
-0.242615	-0.043335	
-0.245667	-0.0436401	
-0.247803	-0.0454712	
-0.247498	-0.0473022	
-0.247803	-0.0479126	
-0.247498	-0.0454712	
-0.248108	-0.0437927	
-0.247803	-0.0431824	
-0.246277	-0.0411987	
-0.24292	-0.0404358	
-0.243225	-0.0424194	
-0.24292	-0.0393677	
-0.238647	-0.0367737	
-0.237427	-0.0338745	
-0.238037	-0.0332642	
-0.238037	-0.0361633	
-0.235901	-0.0386047	
-0.233765	-0.0405884	
-0.237427	-0.040741	
-0.23407	-0.0402832	
-0.233459	-0.0370789	
-0.233154	-0.032196	
-0.233154	-0.0312805	
-0.229797	-0.0354004	
-0.228577	-0.0367737	
-0.228271	-0.0340271	
-0.228577	-0.0292969	
-0.228577	-0.0262451	
-0.228882	-0.0234985	
-0.228577	-0.0213623	
-0.22583	-0.0212097	
-0.225525	-0.0195313	
-0.224304	-0.0183105	
-0.22522	-0.0135803	
-0.224304	-0.00778198	
-0.226135	-0.00839233	
-0.226135	-0.0135803	
-0.22644	-0.0227356	
-0.22522	-0.0283813	
-0.22644	-0.0268555	
-0.227966	-0.0202942	
-0.227966	-0.0167847	
-0.228577	-0.0146484	
-0.230408	-0.0100708	
-0.229187	-0.0111389	
-0.232544	-0.0114441	
-0.232849	-0.0112915	
-0.235596	-0.00915527	
-0.235291	-0.00900269	
-0.237732	-0.00717163	
-0.238037	-0.00427246	
-0.238037	0.0012207	
-0.239563	0.0050354	
-0.24292	0.00595093	
-0.240784	0.00595093	
-0.24231	0.00961304	
-0.24231	0.0161743	
-0.24292	0.0219727	
-0.242615	0.0268555	
-0.24231	0.0314331	
-0.242615	0.0326538	
-0.242615	0.0343323	
-0.24292	0.0369263	
-0.24353	0.039978	
-0.240784	0.0454712	
-0.24292	0.0447083	
-0.24292	0.0460815	
-0.240479	0.0483704	
-0.240479	0.0494385	
-0.238037	0.0480652	
-0.242004	0.0469971	
-0.240784	0.0508118	
-0.242615	0.0518799	
-0.243225	0.0512695	
-0.242615	0.0474548	
-0.244446	0.045166	
-0.243225	0.0482178	
-0.247192	0.0535583	
-0.245361	0.0538635	
-0.247498	0.0494385	
-0.24353	0.0424194	
-0.246887	0.0358582	
-0.245667	0.0289917	
-0.24292	0.0215149	
-0.243225	0.0135803	
-0.243225	0.00854492	
-0.245361	0.00579834	
-0.243835	0.00518799	
-0.24292	0.00152588	
-0.243225	0.00213623	
-0.243225	0.00457764	
-0.243225	0.00488281	
-0.24231	0.00335693	
-0.24292	-0.00137329	
-0.24292	-0.00686646	
-0.24292	-0.00946045	
-0.242615	-0.0108337	
-0.246582	-0.0135803	
-0.245667	-0.0180054	
-0.247498	-0.0210571	
-0.248108	-0.0241089	
-0.245972	-0.0294495	
-0.243225	-0.0354004	
-0.243225	-0.0386047	
-0.24231	-0.0379944	
-0.24292	-0.0404358	
-0.238647	-0.0474548	
-0.238342	-0.0547791	
-0.238342	-0.0598145	
-0.233765	-0.0624084	
-0.233154	-0.0653076	
-0.228577	-0.0671387	
-0.228271	-0.0665283	
-0.22644	-0.0668335	
-0.223389	-0.0637817	
-0.222778	-0.0631714	
-0.220337	-0.0613403	
-0.218201	-0.0564575	
-0.218201	-0.0563049	
-0.213623	-0.0621033	
-0.213623	-0.0654602	
-0.211182	-0.0656128	
-0.209045	-0.0646973	
-0.209045	-0.0657654	
-0.209045	-0.0679016	
-0.209351	-0.0662231	
-0.210876	-0.063324	
-0.211487	-0.062561	
-0.213318	-0.0602722	
-0.213318	-0.0582886	
-0.213318	-0.058136	
-0.213623	-0.058136	
-0.213013	-0.0566101	
-0.218201	-0.0558472	
-0.216675	-0.0550842	
-0.217896	-0.0592041	
-0.218811	-0.0584412	
-0.218201	-0.058136	
-0.218506	-0.0578308	
-0.219116	-0.0556946	
-0.218811	-0.057373	
-0.218811	-0.0614929	
-0.220337	-0.0627136	
-0.223083	-0.0588989	
-0.223389	-0.0582886	
-0.227051	-0.0582886	
-0.228271	-0.0621033	
-0.230713	-0.0630188	
-0.232849	-0.0613403	
-0.236816	-0.0604248	
-0.238342	-0.06073	
-0.240173	-0.0590515	
-0.24231	-0.0564575	
-0.244751	-0.0540161	
-0.247192	-0.0532532	
-0.247803	-0.0550842	
-0.250244	-0.0570679	
-0.250854	-0.0576782	
-0.252991	-0.0556946	
-0.254517	-0.0576782	
-0.257568	-0.0598145	
-0.257568	-0.059967	
-0.257874	-0.0582886	
-0.261841	-0.0576782	
-0.261841	-0.0559998	
-0.262451	-0.057373	
-0.263062	-0.0579834	
-0.262146	-0.0575256	
-0.262146	-0.0521851	
-0.262146	-0.0492859	
-0.264282	-0.0488281	
-0.265198	-0.0480652	
-0.266724	-0.0456238	
-0.264893	-0.0454712	
-0.265503	-0.0460815	
-0.266724	-0.0488281	
-0.267029	-0.0508118	
-0.265198	-0.050354	
-0.265503	-0.0527954	
-0.267029	-0.0535583	
-0.265503	-0.0517273	
-0.267029	-0.0506592	
-0.263367	-0.0489807	
-0.262451	-0.0460815	
-0.263367	-0.0439453	
-0.261841	-0.0453186	
-0.262756	-0.045929	
-0.262146	-0.0437927	
-0.262756	-0.0376892	
-0.262756	-0.0323486	
-0.260925	-0.0247192	
-0.257263	-0.0146484	
-0.257874	-0.00396729	
-0.257568	0.00701904	
-0.257874	0.0187683	
-0.257263	0.0311279	
-0.256042	0.0384521	
-0.252991	0.038147	
-0.252686	0.0357056	
-0.254517	0.0350952	
-0.254822	0.0390625	
-0.252686	0.0418091	
-0.254822	0.0482178	
-0.256042	0.0566101	
-0.256653	0.0657654	
-0.257263	0.0794983	
-0.258179	0.0941467	
-0.256958	0.112915	
-0.258179	0.130463	
-0.257263	0.147247	
-0.257568	0.158386	
-0.257263	0.169983	
-0.258484	0.189056	
-0.258179	0.212402	
-0.261536	0.243378	
-0.257874	0.279541	
-0.257263	0.314789	
-0.261536	0.346985	
-0.261841	0.378113	
-0.262451	0.407562	
-0.262146	0.431061	
-0.262451	0.449219	
-0.262756	0.46402	
-0.262146	0.474548	
-0.264282	0.493622	
-0.262451	0.516052	
-0.266724	0.523834	
-0.267029	0.513611	
-0.263062	0.479736	
-0.264587	0.434265	
-0.263367	0.379028	
-0.262451	0.302124	
-0.262756	0.217285	
-0.262756	0.142517	
-0.262451	0.0990295	
-0.263062	0.0785828	
-0.262756	0.067749	
-0.262146	0.0613403	
-0.262451	0.0549316	
-0.264282	0.0471497	
-0.263367	0.0318909	
-0.262451	0.00640869	
-0.264282	-0.0160217	
-0.265503	-0.0260925	
-0.267029	-0.0325012	
-0.267029	-0.0422668	
-0.267944	-0.0524902	
-0.267639	-0.0627136	
-0.269165	-0.0811768	
-0.271912	-0.114746	
-0.274353	-0.159607	
-0.277405	-0.19104	
-0.276489	-0.192719	
-0.279236	-0.17334	
-0.281677	-0.145721	
-0.283203	-0.121918	
-0.284119	-0.0971985	
-0.286865	-0.0776672	
-0.28717	-0.0610352	
-0.289307	-0.0474548	
-0.292053	-0.037384	
-0.293884	-0.0335693	
-0.296631	-0.0334167	
-0.296936	-0.0337219	
-0.298767	-0.0378418	
-0.301819	-0.0401306	
-0.301819	-0.042572	
-0.305786	-0.043335	
-0.306702	-0.0434875	
-0.309143	-0.0485229	
-0.308838	-0.0497437	
-0.31189	-0.0482178	
-0.31189	-0.0483704	
-0.313721	-0.0491333	
-0.315857	-0.0514221	
-0.316772	-0.0552368	
-0.316162	-0.0556946	
-0.316162	-0.0540161	
-0.317383	-0.0534058	
-0.316467	-0.0578308	
-0.316162	-0.0604248	
-0.314331	-0.0621033	
-0.314026	-0.0627136	
-0.312195	-0.0567627	
-0.31189	-0.0515747	
-0.309448	-0.0512695	
-0.307312	-0.0556946	
-0.304871	-0.0561523	
-0.303955	-0.0537109	
-0.302124	-0.0532532	
-0.299988	-0.0531006	
-0.297546	-0.0531006	
-0.296936	-0.0497437	
-0.297241	-0.0469971	
-0.297241	-0.0457764	
-0.296326	-0.0444031	
-0.296326	-0.0434875	
-0.292664	-0.043335	
-0.292053	-0.045166	
-0.291443	-0.0430298	
-0.292053	-0.0393677	
-0.289917	-0.0369263	
-0.289001	-0.0343323	
-0.292358	-0.0312805	
-0.289917	-0.0309753	
-0.287476	-0.032959	
-0.28717	-0.0318909	
-0.287476	-0.0296021	
-0.284729	-0.0270081	
-0.282898	-0.0257874	
-0.281982	-0.0244141	
-0.27832	-0.0238037	
-0.275574	-0.0216675	
-0.271912	-0.0172424	
-0.272217	-0.0157166	
-0.270386	-0.018158	
-0.267639	-0.0204468	
-0.267334	-0.0210571	
-0.266724	-0.0186157	
-0.267334	-0.0164795	
-0.267029	-0.0166321	
-0.263367	-0.0183105	
-0.266418	-0.0190735	
-0.267334	-0.0187683	
-0.267639	-0.0170898	
-0.267639	-0.0144958	
-0.266724	-0.0140381	
-0.267029	-0.0138855	
-0.267029	-0.0137329	
-0.267029	-0.00793457	
-0.271606	-0.00427246	
-0.270691	-0.00411987	
-0.267944	-0.0038147	
-0.270081	-0.00167847	
-0.271912	-0.00198364	
-0.272217	-0.00473022	
-0.272217	-0.00671387	
-0.273743	-0.00610352	
-0.275574	-0.00427246	
-0.274963	-0.00427246	
-0.274353	-0.00396729	
-0.275269	-0.00335693	
-0.2771	-0.00610352	
-0.275574	-0.00671387	
-0.2771	-0.00656128	
-0.277405	-0.00640869	
-0.275269	-0.0050354	
-0.272522	-0.00259399	
-0.272827	-0.00137329	
-0.271912	0.000610352	
-0.271301	0.00320435	
-0.270691	0.00534058	
-0.269165	0.00610352	
-0.26825	0.00808716	
-0.267029	0.0108337	
-0.267029	0.0126648	
-0.267639	0.0140381	
-0.267944	0.0108337	
-0.267334	0.00640869	
-0.267639	0.00579834	
-0.269775	0.00534058	
-0.271606	0.00564575	
-0.272217	0.00823975	
-0.272217	0.0100708	
-0.271606	0.012207	
-0.271912	0.0128174	
-0.272217	0.0140381	
-0.274963	0.0175476	
-0.272217	0.0192261	
-0.272217	0.0201416	
-0.271912	0.0219727	
-0.271912	0.0209045	
-0.272217	0.020752	
-0.272217	0.0224304	
-0.271912	0.0228882	
-0.274353	0.0250244	
-0.273438	0.025177	
-0.271912	0.0256348	
-0.272827	0.0289917	
-0.271912	0.0318909	
-0.274963	0.0323486	
-0.274658	0.0300598	
-0.277405	0.0283813	
-0.278015	0.0292969	
-0.275574	0.0320435	
-0.274963	0.0360107	
-0.272827	0.0369263	
-0.272217	0.0334167	
-0.272217	0.0341797	
-0.271606	0.0350952	
-0.272827	0.0370789	
-0.270081	0.0378418	
-0.267944	0.0398254	
-0.264893	0.0413513	
-0.262451	0.0421143	
-0.260315	0.0444031	
-0.257263	0.0444031	
-0.255432	0.0445557	
-0.25238	0.0460815	
-0.252075	0.0463867	
-0.247803	0.0447083	
-0.247498	0.0460815	
-0.247803	0.0469971	
-0.247803	0.0468445	
-0.24353	0.045166	
-0.245972	0.0442505	
-0.247192	0.0463867	
-0.247498	0.0497437	
-0.247803	0.0520325	
-0.248108	0.0543213	
-0.247803	0.0567627	
-0.249634	0.0590515	
-0.250549	0.0592041	
-0.252991	0.0608826	
-0.252075	0.0611877	
-0.252991	0.0596619	
-0.253296	0.0590515	
-0.257263	0.0605774	
-0.255432	0.0619507	
-0.257568	0.0617981	
-0.257568	0.0628662	
-0.261536	0.0660706	
-0.262756	0.0704956	
-0.266724	0.071106	
-0.267029	0.0689697	
-0.271301	0.0672913	
-0.272522	0.0708008	
-0.274658	0.0749207	
-0.276184	0.0788879	
-0.277405	0.0822449	
-0.277405	0.080719	
-0.2771	0.0787354	
-0.277405	0.0808716	
-0.2771	0.0839233	
-0.278015	0.0875854	
-0.275574	0.0909424	
-0.271912	0.0933838	
-0.272217	0.0942993	
-0.270081	0.0942993	
-0.267944	0.09552	
-0.267639	0.0933838	
-0.265198	0.0935364	
-0.262756	0.0953674	
-0.26062	0.0979614	
-0.259705	0.101013	
-0.257568	0.103149	
-0.255127	0.103302	
-0.252686	0.103607	
-0.252686	0.105743	
-0.247803	0.107727	
-0.249329	0.107727	
-0.248108	0.108032	
-0.245361	0.108032	
-0.243225	0.10849	
-0.245056	0.110168	
-0.24353	0.110016	
-0.24292	0.108337	
-0.242615	0.107574	
-0.24292	0.105743	
-0.242615	0.105133	
-0.24292	0.103149	
-0.243225	0.105133	
-0.243225	0.106354	
-0.24231	0.105896	
-0.24353	0.105743	
-0.242615	0.105743	
-0.24353	0.106964	
-0.24292	0.106354	
-0.24231	0.107574	
-0.24292	0.105591	
-0.245056	0.105896	
-0.245361	0.105743	
-0.247192	0.105438	
-0.247803	0.102997	
-0.247498	0.100555	
-0.247803	0.0982666	
-0.247192	0.0971985	
-0.247498	0.0941467	
-0.247192	0.0932312	
-0.252075	0.0894165	
-0.252686	0.087738	
-0.252075	0.0843811	
-0.252686	0.0790405	
-0.252991	0.0762939	
-0.25238	0.0741577	
-0.250854	0.0723267	
-0.247803	0.0683594	
-0.247803	0.0648499	
-0.247498	0.0613403	
-0.24353	0.057373	
-0.240479	0.0546265	
-0.235596	0.0558472	
-0.231323	0.0546265	
-0.226746	0.04776	
-0.218811	0.0401306	
-0.212097	0.0315857	
-0.202942	0.0239563	
-0.192261	0.0198364	
-0.1828	0.0137329	
-0.173035	0.00946045	
-0.159302	0.00640869	
-0.146484	0.00152588	
-0.1297	-0.00305176	
-0.114441	-0.00610352	
-0.0973511	-0.00976563	
-0.0762939	-0.0157166	
-0.0549316	-0.0228882	
-0.0317383	-0.0256348	
-0.00793457	-0.0276184	
0.0164795	-0.0300598	
0.0411987	-0.0286865	
0.0701904	-0.0286865	
0.0994873	-0.0332642	
0.131226	-0.0375366	
0.161438	-0.0402832	
0.194702	-0.045166	
0.229187	-0.0483704	
0.261536	-0.0506592	
0.297241	-0.0511169	
0.335999	-0.0549316	
0.371094	-0.0598145	
0.408936	-0.0605774	
0.450745	-0.0611877	
0.490112	-0.0630188	
0.532532	-0.0646973	
0.571594	-0.0656128	
0.614929	-0.0657654	
0.655518	-0.0660706	
0.700684	-0.0675964	
0.743713	-0.0679016	
0.787354	-0.067749	
0.829468	-0.0680542	
0.873413	-0.0704956	
0.915222	-0.072937	
0.958862	-0.072937	
1.00128	-0.0750732	
1.04248	-0.0752258	
1.08459	-0.0764465	
1.1264	-0.0752258	
1.16577	-0.0775146	
1.20575	-0.0776672	
1.24451	-0.0778198	
1.28174	-0.0761414	
1.31775	-0.0750732	
1.35498	-0.0732422	
1.38947	-0.0752258	
1.4267	-0.0752258	
1.45874	-0.0733948	
1.4917	-0.0750732	
1.52252	-0.0737	
1.55334	-0.0726318	
1.58173	-0.0704956	
1.60736	-0.0679016	
1.63574	-0.0663757	
1.66107	-0.0660706	
1.68304	-0.0637817	
1.70715	-0.0650024	
1.72668	-0.0675964	
1.7453	-0.0679016	
1.763	-0.067749	
1.77795	-0.0675964	
1.79077	-0.0662231	
1.8045	-0.0668335	
1.81458	-0.0656128	
1.82373	-0.0654602	
1.8338	-0.065155	
1.84021	-0.0637817	
1.84692	-0.0613403	
1.85028	-0.0605774	
1.85303	-0.0621033	
1.85455	-0.0627136	
1.8573	-0.0608826	
1.85577	-0.0585938	
1.85211	-0.0544739	
1.85242	-0.0527954	
1.84662	-0.0532532	
1.84082	-0.0517273	
1.83319	-0.0532532	
1.82373	-0.0534058	
1.81274	-0.0553894	
1.80237	-0.0541687	
1.79291	-0.0534058	
1.7807	-0.0532532	
1.76453	-0.0572205	
1.74866	-0.0601196	
1.73431	-0.058136	
1.71783	-0.0540161	
1.70227	-0.0488281	
1.68274	-0.0460815	
1.66534	-0.0471497	
1.64856	-0.0471497	
1.62933	-0.0457764	
1.6098	-0.0460815	
