Local: ,2025-06-12 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1749679200000.0
Timestamp,Seq No.,ECG data
1749724949579.875,21,59974
1749724949580.875,21,59977
1749724949581.875,22,59974
1749724949582.875,22,59974
1749724949583.875,22,59975
1749724949584.781,22,59966
1749724949585.781,22,59960
1749724949586.781,22,59962
1749724949587.781,22,59966
1749724949588.781,22,59980
1749724949589.781,22,59958
1749724949590.781,22,59975
1749724949591.781,22,59966
1749724949592.781,23,59976
1749724949593.781,23,59966
1749724949594.781,23,59966
1749724949595.781,23,59981
1749724949596.781,23,59969
1749724949597.781,23,59971
1749724949598.781,23,59975
1749724949599.781,23,59977
1749724949600.688,23,59975
1749724949601.687,23,59971
1749724949602.688,23,59973
1749724949603.687,24,59975
1749724949604.688,24,59974
1749724949605.687,24,59970
1749724949606.688,24,59982
1749724949607.687,24,59970
1749724949608.687,24,59981
1749724949609.688,24,59968
1749724949610.687,24,59975
1749724949611.688,24,59974
1749724949612.687,24,59963
1749724949613.688,24,59968
1749724949614.687,25,59967
1749724949615.688,25,59965
1749724949616.656,25,59978
1749724949617.656,25,59966
1749724949618.656,25,59963
1749724949619.656,25,59966
1749724949620.656,25,59969
1749724949621.656,25,59970
1749724949622.656,25,59962
1749724949623.656,25,59966
1749724949624.656,25,59981
1749724949625.656,26,59971
1749724949626.656,26,59962
1749724949627.656,26,59981
1749724949628.656,26,59982
1749724949629.656,26,59976
1749724949630.656,26,59983
1749724949631.656,26,59983
1749724949632.437,26,59987
1749724949633.438,26,59976
1749724949634.437,26,59978
1749724949635.438,26,59985
1749724949636.437,27,59980
1749724949637.438,27,59981
1749724949638.437,27,59976
1749724949639.438,27,59986
1749724949640.4368,27,59976
1749724949641.438,27,59975
1749724949642.437,27,59983
1749724949643.438,27,59979
1749724949644.437,27,59982
1749724949645.438,27,59980
1749724949646.437,27,59969
1749724949647.438,28,59973
1749724949648.344,28,59972
1749724949649.344,28,59981
1749724949650.344,28,59982
1749724949651.344,28,59974
1749724949652.344,28,59981
1749724949653.344,28,59984
1749724949654.344,28,59971
1749724949655.344,28,59980
1749724949656.344,28,59980
1749724949657.344,28,59974
1749724949658.344,29,59975
1749724949659.344,29,59983
1749724949660.344,29,59986
1749724949661.344,29,59982
1749724949662.344,29,59967
1749724949663.344,29,59980
1749724949664.219,29,59980
1749724949665.219,29,59974
1749724949666.219,29,59966
1749724949667.219,29,59970
1749724949668.219,29,59967
1749724949669.219,30,59975
1749724949670.219,30,59977
1749724949671.219,30,59975
1749724949672.219,30,59963
1749724949673.219,30,59978
1749724949674.219,30,59972
1749724949675.219,30,59979
1749724949676.219,30,59971
1749724949677.219,30,59971
1749724949678.219,30,59981
1749724949679.219,30,59972
1749724949680.156,31,59991
1749724949681.156,31,59968
1749724949682.156,31,59970
1749724949683.156,31,59981
1749724949684.156,31,59984
1749724949685.156,31,59982
1749724949686.156,31,59972
1749724949687.156,31,59972
1749724949688.156,31,59972
1749724949689.156,31,59978
1749724949690.156,31,59976
1749724949691.156,32,59987
1749724949692.156,32,59994
1749724949693.156,32,59976
1749724949694.156,32,59995
1749724949695.156,32,59978
1749724949696.0,32,59980
1749724949697.0,32,59966
1749724949698.0,32,59981
1749724949699.0,32,59976
1749724949700.0,32,59986
1749724949701.0,32,59976
1749724949702.0,33,59990
1749724949703.0,33,59969
1749724949704.0,33,59969
1749724949705.0,33,59981
1749724949706.0,33,59968
1749724949707.0,33,59964
1749724949708.0,33,59982
1749724949709.0,33,59978
1749724949710.0,33,59973
1749724949711.0,33,59966
1749724949711.875,33,59972
1749724949712.875,34,59978
1749724949713.875,34,59989
1749724949714.875,34,59978
1749724949715.875,34,59974
1749724949716.875,34,59985
1749724949717.875,34,59972
1749724949718.875,34,59987
1749724949719.875,34,59989
1749724949720.875,34,59978
1749724949721.875,34,59984
1749724949722.875,34,59979
1749724949723.875,35,59973
1749724949724.875,35,59981
1749724949725.875,35,59980
1749724949726.875,35,59972
1749724949727.781,35,59976
1749724949728.781,35,59971
1749724949729.781,35,59971
1749724949730.781,35,59978
1749724949731.781,35,59974
1749724949732.781,35,59969
1749724949733.781,35,59979
1749724949734.781,36,59978
1749724949735.781,36,59979
1749724949736.7808,36,59973
1749724949737.781,36,59983
1749724949738.781,36,59976
1749724949739.781,36,59971
1749724949740.781,36,59972
1749724949741.781,36,59981
