Local: ,2025-05-22 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1747864800000.0
PPG Timestamp,PPG,ADXL Timestamp,X,Y,Z
1747907676243.625,193895,1747907676224.656,-80,-25,-125
1747907676263.406,194049,1747907676244.531,-90,-29,-100
1747907676283.281,194225,1747907676264.313,-82,-25,-127
1747907676303.125,194430,1747907676284.188,-87,-24,-125
1747907676322.969,194601,1747907676304.031,-80,-24,-127
1747907676342.844,194808,1747907676323.937,-87,-20,-120
1747907676362.75,194978,1747907676343.75,-80,-26,-121
1747907676382.5632,195162,1747907676363.656,-80,-24,-121
1747907676402.406,195280,1747907676383.5,-88,-26,-126
1747907676422.25,195376,1747907676403.344,-79,-25,-117
1747907676442.125,195455,1747907676423.187,-82,-25,-122
1747907676462.0,195533,1747907676443.063,-77,-21,-118
1747907676481.875,195605,1747907676462.9058,-80,-25,-121
1747907676501.688,195680,1747907676482.781,-78,-21,-112
1747907676521.531,195753,1747907676502.594,-89,-20,-122
1747907676541.406,195847,1747907676522.438,-73,-17,-121
1747907676561.25,195928,1747907676542.313,-90,-22,-122
1747907676581.094,195987,1747907676562.187,-74,-24,-124
1747907676600.969,196060,1747907676582.031,-89,-5,-114
1747907676620.812,196158,1747907676601.875,-85,-21,-124
1747907676640.656,196212,1747907676621.719,-88,-20,-125
1747907676660.531,196321,1747907676641.625,-79,-25,-116
1747907676680.406,196396,1747907676661.437,-89,-20,-122
1747907676700.281,196477,1747907676681.344,-89,-25,-128
1747907676720.094,196579,1747907676701.188,-84,-20,-125
1747907676739.969,196648,1747907676721.031,-77,-24,-122
1747907676759.813,196684,1747907676740.875,-79,-23,-121
1747907676779.687,196752,1747907676760.75,-97,-25,-121
1747907676799.656,196832,1747907676780.656,-92,-26,-124
1747907676819.406,196894,1747907676800.594,-89,-23,-121
1747907676839.281,196966,1747907676820.312,-83,-25,-125
1747907676859.125,197045,1747907676840.187,-90,-21,-122
1747907676878.969,197147,1747907676860.031,-85,-23,-125
1747907676898.813,197221,1747907676879.906,-84,-22,-116
1747907676918.781,197297,1747907676899.719,-72,-29,-124
1747907676938.531,197392,1747907676919.594,-76,-33,-116
1747907676958.375,197455,1747907676939.437,-77,-21,-128
1747907676978.219,197472,1747907676959.344,-82,-20,-127
1747907676998.063,197494,1747907676979.156,-87,-20,-112
1747907677017.938,197460,1747907676999.0,-87,-24,-122
1747907677037.75,197416,1747907677018.844,-80,-26,-108
1747907677057.625,197359,1747907677038.75,-87,-23,-125
1747907677077.469,197278,1747907677058.563,-77,-18,-125
1747907677097.344,197191,1747907677078.406,-85,-25,-121
1747907677117.188,197149,1747907677098.25,-80,-22,-125
1747907677137.031,197123,1747907677118.125,-85,-21,-122
1747907677156.906,197076,1747907677138.0,-74,-25,-122
1747907677176.75,197089,1747907677157.813,-79,-24,-122
1747907677196.594,197047,1747907677177.656,-84,-25,-121
1747907677216.437,197056,1747907677197.531,-81,-27,-128
1747907677236.344,197065,1747907677217.406,-90,-21,-125
1747907677256.25,197079,1747907677237.25,-79,-20,-126
1747907677276.031,197082,1747907677257.125,-80,-18,-128
1747907677295.875,197071,1747907677276.969,-93,-25,-121
1747907677315.75,197077,1747907677296.844,-88,-23,-121
1747907677335.594,197078,1747907677316.688,-77,-32,-129
1747907677355.469,197101,1747907677336.531,-89,-23,-122
1747907677375.313,197083,1747907677356.437,-80,-24,-122
1747907677395.219,197092,1747907677376.25,-77,-24,-124
1747907677415.062,197118,1747907677396.125,-80,-22,-122
1747907677434.906,197135,1747907677415.969,-80,-25,-121
1747907677454.75,197149,1747907677435.812,-84,-24,-121
1747907677474.656,197161,1747907677455.719,-74,-26,-125
1747907677494.5,197161,1747907677475.563,-77,-20,-128
1747907677514.344,197203,1747907677495.406,-84,-20,-128
1747907677534.219,197242,1747907677515.281,-89,-25,-122
1747907677554.062,197297,1747907677535.156,-64,-24,-124
1747907677573.937,197359,1747907677554.969,-79,-25,-127
1747907677593.781,197400,1747907677574.844,-88,-21,-126
1747907677613.625,197367,1747907677594.719,-77,-4,-128
1747907677633.5,197313,1747907677614.562,-79,-23,-124
1747907677653.375,197219,1747907677634.406,-80,-26,-125
1747907677673.156,197094,1747907677654.25,-80,-25,-107
1747907677693.031,196978,1747907677674.094,-84,-21,-121
1747907677712.875,196854,1747907677694.0,-77,-24,-122
1747907677732.75,196737,1747907677713.812,-87,-20,-125
1747907677752.594,196659,1747907677733.656,-83,-23,-121
1747907677772.438,196589,1747907677753.563,-85,-20,-128
1747907677792.313,196497,1747907677773.375,-84,-21,-121
1747907677812.156,196461,1747907677793.219,-80,-25,-125
1747907677832.031,196419,1747907677813.094,-90,-24,-122
1747907677851.844,196398,1747907677832.938,-80,-24,-125
1747907677871.719,196374,1747907677852.781,-81,-20,-121
1747907677891.563,196361,1747907677872.719,-84,-26,-121
1747907677911.437,196328,1747907677892.5,-74,-25,-120
1747907677931.25,196310,1747907677912.344,-77,-23,-121
1747907677951.094,196282,1747907677932.188,-65,-24,-124
1747907677970.969,196265,1747907677952.0,-85,-24,-121
1747907677990.844,196230,1747907677971.875,-88,-25,-125
1747907678010.656,196215,1747907677991.75,-77,-25,-113
1747907678030.5,196176,1747907678011.625,-88,-24,-121
1747907678050.344,196177,1747907678031.4382,-89,-25,-124
1747907678070.219,196169,1747907678051.281,-82,-24,-127
1747907678090.031,196192,1747907678071.125,-80,-23,-114
1747907678109.937,196206,1747907678091.0,-84,-21,-121
1747907678129.75,196241,1747907678110.875,-88,-20,-124
1747907678149.625,196250,1747907678130.688,-77,-20,-127
1747907678169.406,196264,1747907678150.531,-87,-21,-121
1747907678189.281,196280,1747907678170.375,-80,-23,-125
1747907678209.156,196333,1747907678190.219,-84,-25,-121
1747907678229.0,196351,1747907678210.063,-79,-24,-114
1747907678248.844,196370,1747907678229.906,-84,-23,-112
1747907678268.687,196383,1747907678249.781,-74,-24,-125
1747907678288.562,196348,1747907678269.625,-69,-20,-126
1747907678308.469,196242,1747907678289.469,-84,-25,-125
1747907678328.281,196089,1747907678309.375,-89,-25,-125
1747907678348.156,195938,1747907678329.25,-80,-5,-116
1747907678368.031,195805,1747907678349.094,-89,-23,-126
1747907678387.906,195660,1747907678368.969,-89,-22,-128
1747907678407.75,195510,1747907678388.781,-80,-17,-129
1747907678427.625,195385,1747907678408.687,-87,-23,-121
1747907678447.5,195288,1747907678428.562,-81,-25,-124
1747907678467.375,195231,1747907678448.5,-79,-24,-126
1747907678487.219,195195,1747907678468.281,-79,-26,-122
1747907678507.063,195133,1747907678488.156,-77,-24,-122
1747907678526.937,195101,1747907678508.0,-89,-23,-121
1747907678546.875,195041,1747907678527.844,-87,-25,-128
1747907678566.594,195014,1747907678547.781,-94,-25,-125
1747907678586.5,195000,1747907678567.563,-87,-20,-125
1747907678606.344,194955,1747907678587.437,-77,-17,-124
1747907678626.219,194941,1747907678607.281,-97,-26,-124
1747907678646.063,194894,1747907678627.125,-80,-25,-125
1747907678665.906,194898,1747907678647.0,-90,-24,-122
1747907678685.781,194877,1747907678666.812,-78,-33,-116
1747907678705.656,194882,1747907678686.719,-89,-23,-119
1747907678725.5,194863,1747907678706.594,-88,-24,-125
1747907678745.375,194859,1747907678726.438,-79,-24,-135
1747907678765.219,194884,1747907678746.281,-88,-25,-122
1747907678785.094,194902,1747907678766.125,-79,-28,-121
1747907678804.9368,194930,1747907678786.031,-87,-23,-126
1747907678824.781,194967,1747907678805.875,-77,-25,-121
1747907678844.656,195013,1747907678825.7192,-92,-17,-143
1747907678864.531,195034,1747907678845.625,-79,-25,-125
1747907678884.344,195060,1747907678865.437,-84,-23,-126
1747907678904.187,195104,1747907678885.313,-80,-23,-126
1747907678924.063,195148,1747907678905.094,-84,-16,-125
