recording_3_ecgppg_biopac_movement.acq
Graph Created on: 2025-05-22 11:33:37.664
Recording on: 2025-05-22 12:03:22.265
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
milliSec	CH1	CH13	
	218923 samples	218923 samples	
195	-0.613098	-0.00396729	
196	-0.611877	-0.00244141	
197	-0.609436	-0.00488281	
198	-0.608215	-0.0100708	
199	-0.6073	-0.0144958	
200	-0.607605	-0.0170898	
201	-0.606995	-0.0170898	
202	-0.607605	-0.0163269	
203	-0.606995	-0.0146484	
204	-0.6073	-0.0154114	
205	-0.606384	-0.0178528	
206	-0.606689	-0.0195313	
207	-0.6073	-0.0186157	
208	-0.609436	-0.0172424	
209	-0.610962	-0.0172424	
210	-0.611877	-0.0190735	
211	-0.611877	-0.0192261	
212	-0.612183	-0.0195313	
213	-0.614929	-0.0164795	
214	-0.617065	-0.0149536	
215	-0.617371	-0.0146484	
216	-0.617371	-0.0134277	
217	-0.617981	-0.0144958	
218	-0.619202	-0.0126648	
219	-0.621338	-0.0119019	
220	-0.621643	-0.0119019	
221	-0.625305	-0.010376	
222	-0.626526	-0.00991821	
223	-0.626221	-0.00778198	
224	-0.629883	-0.00473022	
225	-0.631104	-0.00167847	
226	-0.632629	-0.000762939	
227	-0.635376	-0.00228882	
228	-0.635986	-0.00137329	
229	-0.639648	-0.00244141	
230	-0.641785	-0.00518799	
231	-0.6427	-0.00991821	
232	-0.645752	-0.0128174	
233	-0.646667	-0.0143433	
234	-0.650024	-0.0152588	
235	-0.650024	-0.0158691	
236	-0.650635	-0.01297	
237	-0.652771	-0.0128174	
238	-0.654907	-0.0164795	
239	-0.655212	-0.0187683	
240	-0.656128	-0.0218201	
241	-0.657349	-0.0218201	
242	-0.660706	-0.0210571	
243	-0.663452	-0.0186157	
244	-0.664063	-0.0178528	
245	-0.665588	-0.0192261	
246	-0.665894	-0.0195313	
247	-0.665588	-0.017395	
248	-0.669861	-0.0146484	
249	-0.670166	-0.0167847	
250	-0.670776	-0.0190735	
251	-0.674744	-0.0195313	
252	-0.675354	-0.0184631	
253	-0.675659	-0.0180054	
254	-0.67627	-0.0193787	
255	-0.680847	-0.0192261	
256	-0.679932	-0.0193787	
257	-0.681152	-0.0196838	
258	-0.685425	-0.0209045	
259	-0.68512	-0.0186157	
260	-0.688782	-0.0167847	
261	-0.690308	-0.0166321	
262	-0.69397	-0.0195313	
263	-0.697327	-0.0210571	
264	-0.696411	-0.0149536	
265	-0.699768	-0.0141907	
266	-0.700989	-0.0154114	
267	-0.704651	-0.0169373	
268	-0.706787	-0.0167847	
269	-0.708618	-0.0193787	
270	-0.710144	-0.0187683	
271	-0.713501	-0.0178528	
272	-0.715027	-0.0202942	
273	-0.717773	-0.0265503	
274	-0.718994	-0.0305176	
275	-0.723572	-0.0263977	
276	-0.724792	-0.0247192	
277	-0.725708	-0.025177	
278	-0.72937	-0.0276184	
279	-0.732422	-0.0273132	
280	-0.733948	-0.0259399	
281	-0.735474	-0.0247192	
282	-0.738525	-0.0234985	
283	-0.740356	-0.0210571	
284	-0.743408	-0.0167847	
285	-0.744324	-0.0138855	
286	-0.74585	-0.0108337	
287	-0.748291	-0.0111389	
288	-0.749817	-0.00915527	
289	-0.753479	-0.0062561	
290	-0.754089	-0.00473022	
291	-0.7547	-0.00473022	
292	-0.756531	-0.00701904	
293	-0.759583	-0.00610352	
294	-0.763245	-0.00793457	
295	-0.763245	-0.0102234	
296	-0.76355	-0.012207	
297	-0.767822	-0.0109863	
298	-0.769043	-0.0120544	
299	-0.769958	-0.012207	
300	-0.774231	-0.0128174	
301	-0.773621	-0.0163269	
302	-0.777283	-0.0172424	
303	-0.778503	-0.0170898	
304	-0.778503	-0.0169373	
305	-0.78186	-0.0172424	
306	-0.780945	-0.0170898	
307	-0.783081	-0.0180054	
308	-0.784302	-0.0204468	
309	-0.787964	-0.0215149	
310	-0.787659	-0.0215149	
311	-0.78949	-0.0238037	
312	-0.792847	-0.0250244	
313	-0.792847	-0.0260925	
314	-0.792847	-0.0238037	
315	-0.792847	-0.0184631	
316	-0.795898	-0.0120544	
317	-0.796814	-0.00762939	
318	-0.798645	-0.00549316	
319	-0.797729	-0.00442505	
320	-0.800781	-0.00305176	
321	-0.801392	0.000457764	
322	-0.803833	0.00305176	
323	-0.803223	0.00457764	
324	-0.803528	0.00762939	
325	-0.807495	0.0126648	
326	-0.80719	0.0152588	
327	-0.8078	0.0163269	
328	-0.807495	0.0132751	
329	-0.811462	0.0102234	
330	-0.812378	0.0117493	
331	-0.812073	0.0141907	
332	-0.816345	0.017395	
333	-0.817566	0.0193787	
334	-0.817871	0.0177002	
335	-0.816956	0.0135803	
336	-0.820007	0.0117493	
337	-0.818787	0.00900269	
338	-0.819702	0.00869751	
339	-0.821228	0.00549316	
340	-0.822449	0.00320435	
341	-0.826111	0.000457764	
342	-0.827637	-0.00183105	
343	-0.827026	-0.00213623	
344	-0.827026	-0.00228882	
345	-0.827026	-0.00427246	
346	-0.829773	-0.00671387	
347	-0.829773	-0.00656128	
348	-0.831604	-0.00106812	
349	-0.829163	0.00518799	
350	-0.828857	0.00946045	
351	-0.831909	0.0108337	
352	-0.829773	0.0128174	
353	-0.830383	0.0137329	
354	-0.827637	0.00976563	
355	-0.826721	0.00457764	
356	-0.825806	0.000762939	
357	-0.823059	-0.000915527	
358	-0.822144	-0.00106812	
359	-0.821228	-0.00213623	
360	-0.81665	-0.00244141	
361	-0.81604	-0.00244141	
362	-0.815125	-0.00534058	
363	-0.812683	-0.00701904	
364	-0.812683	-0.00564575	
365	-0.810242	-0.00137329	
366	-0.811157	-0.000915527	
367	-0.808105	-0.00595093	
368	-0.808105	-0.0128174	
369	-0.804138	-0.0146484	
370	-0.802612	-0.0157166	
371	-0.803223	-0.0154114	
372	-0.802002	-0.0169373	
373	-0.797729	-0.018158	
374	-0.797729	-0.0195313	
375	-0.79834	-0.0195313	
376	-0.798035	-0.0192261	
377	-0.794067	-0.0177002	
378	-0.793152	-0.0152588	
379	-0.793152	-0.0144958	
380	-0.793152	-0.014801	
381	-0.788574	-0.0204468	
382	-0.791626	-0.0286865	
383	-0.792542	-0.0375366	
384	-0.790405	-0.0439453	
385	-0.792236	-0.0465393	
386	-0.788879	-0.0419617	
387	-0.787659	-0.0384521	
388	-0.787659	-0.0369263	
389	-0.791016	-0.03479	
390	-0.787659	-0.0325012	
391	-0.791626	-0.0326538	
392	-0.789795	-0.0363159	
393	-0.792847	-0.0375366	
394	-0.793152	-0.0360107	
395	-0.792847	-0.0326538	
396	-0.794067	-0.0326538	
397	-0.797729	-0.0349426	
398	-0.797424	-0.0366211	
399	-0.798645	-0.0366211	
400	-0.798645	-0.0364685	
401	-0.802002	-0.0384521	
402	-0.802307	-0.0402832	
403	-0.802612	-0.0392151	
404	-0.801697	-0.038147	
405	-0.802307	-0.0350952	
406	-0.803223	-0.0340271	
407	-0.802307	-0.0350952	
408	-0.804749	-0.0367737	
409	-0.804138	-0.0395203	
410	-0.80719	-0.0422668	
411	-0.8078	-0.043335	
412	-0.807495	-0.0418091	
413	-0.807495	-0.0422668	
414	-0.8078	-0.0439453	
415	-0.807495	-0.0421143	
416	-0.803528	-0.0396729	
417	-0.802612	-0.0393677	
418	-0.805054	-0.0393677	
419	-0.803223	-0.0393677	
420	-0.802002	-0.0370789	
421	-0.802307	-0.0340271	
422	-0.802002	-0.0297546	
423	-0.803528	-0.0292969	
424	-0.803223	-0.0265503	
425	-0.804138	-0.0218201	
426	-0.806274	-0.0177002	
427	-0.80658	-0.0189209	
428	-0.807495	-0.0215149	
429	-0.809021	-0.0230408	
430	-0.811768	-0.0244141	
431	-0.812683	-0.0242615	
432	-0.812683	-0.0250244	
433	-0.816345	-0.0274658	
434	-0.817566	-0.0318909	
435	-0.816956	-0.0357056	
436	-0.817261	-0.0335693	
437	-0.821228	-0.0286865	
438	-0.822144	-0.0250244	
439	-0.823669	-0.025177	
440	-0.827026	-0.0283813	
441	-0.827332	-0.0305176	
442	-0.827332	-0.0267029	
443	-0.83252	-0.022583	
444	-0.836487	-0.0210571	
445	-0.837097	-0.0160217	
446	-0.836487	-0.00793457	
447	-0.838623	0.00305176	
448	-0.84259	0.012207	
449	-0.846863	0.0183105	
450	-0.846558	0.0254822	
451	-0.85022	0.0338745	
452	-0.851135	0.0395203	
453	-0.852356	0.0439453	
454	-0.856018	0.0489807	
455	-0.860291	0.0544739	
456	-0.860901	0.0613403	
457	-0.862732	0.0686646	
458	-0.866394	0.0811768	
459	-0.870361	0.0976563	
460	-0.871277	0.114746	
461	-0.872498	0.132599	
462	-0.87677	0.149384	
463	-0.881653	0.163574	
464	-0.881653	0.16922	
465	-0.88562	0.169983	
466	-0.889893	0.172119	
467	-0.894775	0.178223	
468	-0.896301	0.185852	
