Local: ,2025-05-22 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1747864800000.0
Timestamp,Seq No.,ECG data
1747907674557.188,21,59997
1747907674558.187,21,59976
1747907674559.188,22,59988
1747907674560.187,22,59974
1747907674561.188,22,59974
1747907674562.063,22,59977
1747907674563.062,22,60002
1747907674564.063,22,59991
1747907674565.062,22,59992
1747907674566.063,22,59993
1747907674567.062,22,59989
1747907674568.063,22,59983
1747907674569.062,22,59998
1747907674570.0632,23,59985
1747907674571.062,23,59998
1747907674572.063,23,59981
1747907674573.062,23,59984
1747907674574.063,23,59983
1747907674575.063,23,59989
1747907674576.062,23,59986
1747907674577.063,23,60000
1747907674577.969,23,59973
1747907674578.969,23,59997
1747907674579.969,23,59984
1747907674580.969,24,59990
1747907674581.969,24,59988
1747907674582.969,24,59980
1747907674583.9692,24,59998
1747907674584.969,24,59977
1747907674585.969,24,59988
1747907674586.969,24,59990
1747907674587.969,24,59972
1747907674588.969,24,59991
1747907674589.969,24,59985
1747907674590.969,24,59984
1747907674591.969,25,59992
1747907674592.969,25,59982
1747907674593.9382,25,59990
1747907674594.937,25,59977
1747907674595.938,25,59985
1747907674596.937,25,59982
1747907674597.938,25,59985
1747907674598.937,25,59980
1747907674599.938,25,59998
1747907674600.937,25,59981
1747907674601.938,25,59995
1747907674602.937,26,59985
1747907674603.937,26,59984
1747907674604.938,26,59989
1747907674605.937,26,59986
1747907674606.938,26,59980
1747907674607.937,26,59978
1747907674608.938,26,59987
1747907674609.781,26,59977
1747907674610.781,26,59982
1747907674611.7808,26,59986
1747907674612.781,26,59971
1747907674613.781,27,59978
1747907674614.781,27,59991
1747907674615.781,27,59986
1747907674616.781,27,59986
1747907674617.781,27,59982
1747907674618.781,27,59996
1747907674619.781,27,59991
1747907674620.781,27,59978
1747907674621.781,27,59986
1747907674622.781,27,59983
1747907674623.781,27,59988
1747907674624.781,28,59974
1747907674625.625,28,59989
1747907674626.625,28,59989
1747907674627.625,28,59985
1747907674628.625,28,59986
1747907674629.625,28,59985
1747907674630.625,28,59979
1747907674631.625,28,59997
1747907674632.625,28,59995
1747907674633.625,28,59998
1747907674634.625,28,59983
1747907674635.625,29,59994
1747907674636.625,29,59995
1747907674637.625,29,59985
1747907674638.625,29,59968
1747907674639.625,29,59986
1747907674640.625,29,59968
1747907674641.5,29,59980
1747907674642.5,29,59988
1747907674643.5,29,59978
1747907674644.5,29,59979
1747907674645.5,29,59983
1747907674646.5,30,59983
1747907674647.5,30,59975
1747907674648.5,30,59984
1747907674649.5,30,59982
1747907674650.5,30,59989
1747907674651.5,30,59981
1747907674652.5,30,59979
1747907674653.5,30,59988
1747907674654.5,30,59977
1747907674655.5,30,59986
1747907674656.5,30,59993
1747907674657.406,31,59992
1747907674658.406,31,59974
1747907674659.406,31,59970
1747907674660.406,31,59994
1747907674661.406,31,59982
1747907674662.406,31,59978
1747907674663.406,31,59978
1747907674664.406,31,59994
1747907674665.406,31,59982
1747907674666.406,31,59981
1747907674667.406,31,59976
1747907674668.406,32,59985
1747907674669.406,32,59975
1747907674670.406,32,59987
1747907674671.406,32,59974
1747907674672.406,32,59987
1747907674673.313,32,59980
1747907674674.312,32,59979
1747907674675.313,32,59980
1747907674676.312,32,59981
1747907674677.313,32,59980
1747907674678.313,32,59981
1747907674679.312,33,59984
1747907674680.313,33,59986
1747907674681.312,33,59992
1747907674682.313,33,59975
1747907674683.312,33,59985
1747907674684.313,33,59974
1747907674685.312,33,59982
1747907674686.313,33,59985
1747907674687.3118,33,59994
1747907674688.313,33,59984
1747907674689.188,33,59990
1747907674690.187,34,60002
1747907674691.188,34,59984
1747907674692.187,34,59987
1747907674693.188,34,59980
1747907674694.187,34,59982
1747907674695.188,34,59983
1747907674696.187,34,59977
1747907674697.188,34,59994
1747907674698.187,34,59973
1747907674699.188,34,59985
1747907674700.187,34,59987
1747907674701.188,35,59984
1747907674702.187,35,59974
1747907674703.188,35,59982
1747907674704.187,35,59978
1747907674705.031,35,59983
1747907674706.031,35,59978
1747907674707.031,35,59993
1747907674708.031,35,59984
1747907674709.031,35,59989
1747907674710.031,35,59995
1747907674711.031,35,59990
1747907674712.031,36,59973
1747907674713.031,36,59993
1747907674714.031,36,59986
1747907674715.031,36,59977
1747907674716.031,36,59976
1747907674717.031,36,59986
1747907674718.031,36,59984
1747907674719.031,36,59976
1747907674720.031,36,59980
1747907674720.906,36,59988
1747907674721.906,36,59974
1747907674722.906,37,59974
1747907674723.906,37,59988
1747907674724.906,37,59985
1747907674725.906,37,59979
1747907674726.906,37,59988
1747907674727.906,37,59981
1747907674728.906,37,59979
1747907674729.906,37,59978
1747907674730.906,37,59989
1747907674731.906,37,59988
1747907674732.906,37,59983
1747907674733.906,38,59977
1747907674734.906,38,59992
1747907674735.906,38,59969
1747907674736.844,38,59987
1747907674737.844,38,59973
1747907674738.844,38,59995
1747907674739.844,38,59989
1747907674740.844,38,59983
1747907674741.844,38,59992
1747907674742.844,38,59965
1747907674743.844,38,59980
1747907674744.844,39,59989
1747907674745.844,39,59972
1747907674746.844,39,59988
1747907674747.844,39,59984
1747907674748.844,39,59982
1747907674749.844,39,59969
1747907674750.844,39,59977
1747907674751.844,39,59982
1747907674752.719,39,59979
1747907674753.719,39,59984
1747907674754.719,39,59977
1747907674755.719,40,59980
1747907674756.719,40,59988
1747907674757.719,40,59985
1747907674758.719,40,59987
1747907674759.719,40,59976
1747907674760.719,40,59981
1747907674761.719,40,59992
1747907674762.719,40,59975
1747907674763.719,40,59971
1747907674764.719,40,59986
1747907674765.719,40,59978
1747907674766.719,41,59989
1747907674767.719,41,59973
1747907674768.625,41,59973
1747907674769.625,41,59975
1747907674770.625,41,59981
1747907674771.625,41,59994
1747907674772.625,41,59985
1747907674773.625,41,59980
1747907674774.625,41,59974
1747907674775.625,41,59986
1747907674776.625,41,59986
1747907674777.625,42,59998
1747907674778.625,42,59991
1747907674779.625,42,59988
1747907674780.625,42,59983
1747907674781.625,42,59991
1747907674782.625,42,59976
1747907674783.625,42,59973
1747907674784.469,42,59978
1747907674785.469,42,59978
1747907674786.469,42,59983
1747907674787.469,42,59983
1747907674788.469,43,59992
1747907674789.469,43,59986
1747907674790.469,43,59985
1747907674791.469,43,59981
1747907674792.469,43,59996
1747907674793.469,43,59985
1747907674794.4692,43,59983
1747907674795.469,43,59987
1747907674796.469,43,59984
1747907674797.469,43,59984
1747907674798.469,43,59981
