Local: ,2025-05-22 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1747864800000.0
Timestamp,Seq No.,ECG data
1747908198558.625,21,55749
1747908198559.625,21,55811
1747908198560.625,22,55869
1747908198561.625,22,55927
1747908198562.625,22,55989
1747908198563.5,22,56044
1747908198564.5,22,56104
1747908198565.5,22,56169
1747908198566.5,22,56238
1747908198567.5,22,56308
1747908198568.5,22,56388
1747908198569.5,22,56466
1747908198570.5,22,56543
1747908198571.5,23,56632
1747908198572.5,23,56738
1747908198573.5,23,56860
1747908198574.5,23,56956
1747908198575.5,23,57062
1747908198576.5,23,57158
1747908198577.5,23,57247
1747908198578.5,23,57334
1747908198579.437,23,57406
1747908198580.438,23,57465
1747908198581.437,23,57517
1747908198582.438,24,57567
1747908198583.437,24,57610
1747908198584.438,24,57655
1747908198585.437,24,57706
1747908198586.438,24,57757
1747908198587.437,24,57819
1747908198588.438,24,57894
1747908198589.437,24,57957
1747908198590.438,24,58030
1747908198591.437,24,58098
1747908198592.438,24,58168
1747908198593.437,25,58234
1747908198594.438,25,58294
1747908198595.344,25,58344
1747908198596.344,25,58391
1747908198597.344,25,58438
1747908198598.344,25,58505
1747908198599.344,25,58568
1747908198600.344,25,58622
1747908198601.344,25,58674
1747908198602.344,25,58736
1747908198603.344,25,58806
1747908198604.344,26,58872
1747908198605.344,26,58912
1747908198606.344,26,58933
1747908198607.344,26,58936
1747908198608.344,26,58910
1747908198609.344,26,58873
1747908198610.344,26,58834
1747908198611.219,26,58796
1747908198612.219,26,58760
1747908198613.219,26,58725
1747908198614.219,26,58691
1747908198615.2192,27,58676
1747908198616.219,27,58668
1747908198617.219,27,58676
1747908198618.219,27,58684
1747908198619.219,27,58699
1747908198620.219,27,58711
1747908198621.219,27,58711
1747908198622.219,27,58695
1747908198623.219,27,58666
1747908198624.219,27,58615
1747908198625.219,27,58562
1747908198626.219,28,58495
1747908198627.063,28,58412
1747908198628.062,28,58320
1747908198629.062,28,58250
1747908198630.063,28,58199
1747908198631.062,28,58184
1747908198632.063,28,58184
1747908198633.0618,28,58212
1747908198634.063,28,58254
1747908198635.062,28,58310
1747908198636.063,28,58376
1747908198637.062,29,58452
1747908198638.063,29,58531
1747908198639.062,29,58589
1747908198640.063,29,58627
1747908198641.062,29,58653
1747908198642.063,29,58665
1747908198642.938,29,58658
1747908198643.937,29,58639
1747908198644.938,29,58622
1747908198645.937,29,58603
1747908198646.938,29,58591
1747908198647.937,30,58584
1747908198648.938,30,58567
1747908198649.937,30,58559
1747908198650.938,30,58557
1747908198651.937,30,58560
1747908198652.938,30,58579
1747908198653.937,30,58602
1747908198654.938,30,58635
1747908198655.937,30,58656
1747908198656.938,30,58659
1747908198657.938,30,58652
1747908198658.844,31,58631
1747908198659.844,31,58614
1747908198660.844,31,58590
1747908198661.844,31,58572
1747908198662.844,31,58554
1747908198663.844,31,58536
1747908198664.844,31,58519
1747908198665.844,31,58513
1747908198666.844,31,58513
1747908198667.844,31,58530
1747908198668.844,31,58528
1747908198669.844,32,58532
1747908198670.844,32,58534
1747908198671.844,32,58532
1747908198672.844,32,58539
1747908198673.844,32,58557
1747908198674.688,32,58573
1747908198675.687,32,58560
1747908198676.688,32,58543
1747908198677.687,32,58518
1747908198678.688,32,58498
1747908198679.688,32,58493
1747908198680.687,33,58486
1747908198681.688,33,58484
1747908198682.687,33,58497
1747908198683.688,33,58509
1747908198684.687,33,58514
1747908198685.688,33,58530
1747908198686.687,33,58543
1747908198687.6882,33,58551
1747908198688.687,33,58556
1747908198689.688,33,58560
1747908198690.594,33,58546
1747908198691.594,34,58522
1747908198692.594,34,58499
1747908198693.594,34,58479
1747908198694.594,34,58464
1747908198695.594,34,58456
1747908198696.594,34,58454
1747908198697.594,34,58457
1747908198698.594,34,58467
1747908198699.594,34,58491
1747908198700.594,34,58517
1747908198701.594,34,58536
1747908198702.594,35,58544
1747908198703.594,35,58552
1747908198704.594,35,58548
1747908198705.594,35,58538
1747908198706.437,35,58521
1747908198707.438,35,58488
1747908198708.437,35,58465
1747908198709.438,35,58432
1747908198710.437,35,58400
1747908198711.438,35,58366
1747908198712.437,35,58329
1747908198713.438,36,58287
1747908198714.437,36,58248
1747908198715.438,36,58222
1747908198716.437,36,58216
1747908198717.438,36,58214
1747908198718.437,36,58214
1747908198719.438,36,58220
1747908198720.438,36,58224
1747908198721.437,36,58214
1747908198722.313,36,58205
1747908198723.312,36,58192
1747908198724.313,37,58191
1747908198725.312,37,58191
1747908198726.3132,37,58182
1747908198727.312,37,58174
1747908198728.313,37,58168
1747908198729.312,37,58161
1747908198730.313,37,58166
1747908198731.313,37,58164
1747908198732.312,37,58164
1747908198733.313,37,58164
1747908198734.312,37,58152
1747908198735.313,38,58139
1747908198736.312,38,58138
1747908198737.313,38,58137
1747908198738.219,38,58115
1747908198739.219,38,58084
1747908198740.2192,38,58046
1747908198741.219,38,58001
1747908198742.219,38,57955
1747908198743.219,38,57906
1747908198744.219,38,57871
1747908198745.219,38,57848
1747908198746.219,39,57838
1747908198747.219,39,57839
1747908198748.219,39,57839
1747908198749.219,39,57832
1747908198750.219,39,57828
1747908198751.219,39,57822
1747908198752.219,39,57823
1747908198753.219,39,57837
1747908198754.094,39,57844
1747908198755.094,39,57843
1747908198756.094,39,57831
1747908198757.094,40,57813
1747908198758.094,40,57798
1747908198759.094,40,57775
1747908198760.094,40,57748
1747908198761.094,40,57718
1747908198762.094,40,57699
1747908198763.094,40,57686
1747908198764.094,40,57672
1747908198765.094,40,57656
1747908198766.094,40,57640
1747908198767.094,40,57630
1747908198768.094,41,57609
1747908198769.094,41,57594
1747908198769.969,41,57568
1747908198770.969,41,57528
1747908198771.969,41,57495
1747908198772.969,41,57458
1747908198773.969,41,57435
1747908198774.969,41,57414
1747908198775.969,41,57405
1747908198776.969,41,57407
1747908198777.969,41,57413
1747908198778.969,42,57409
1747908198779.969,42,57417
1747908198780.969,42,57421
1747908198781.969,42,57428
1747908198782.969,42,57433
1747908198783.969,42,57434
1747908198784.969,42,57425
1747908198785.812,42,57401
1747908198786.813,42,57363
1747908198787.812,42,57317
1747908198788.8132,42,57267
1747908198789.812,43,57207
1747908198790.813,43,57152
1747908198791.812,43,57099
1747908198792.813,43,57056
1747908198793.813,43,57038
1747908198794.812,43,57041
1747908198795.813,43,57038
1747908198796.812,43,57024
1747908198797.813,43,57006
1747908198798.812,43,56984
1747908198799.813,43,56954
1747908198800.812,44,56918
1747908198801.688,44,56880
1747908198802.687,44,56836
1747908198803.688,44,56806
1747908198804.688,44,56777
1747908198805.687,44,56772
1747908198806.688,44,56777
1747908198807.687,44,56785
1747908198808.688,44,56792
1747908198809.687,44,56808
1747908198810.688,44,56814
1747908198811.687,45,56815
1747908198812.6882,45,56806
1747908198813.687,45,56786
1747908198814.688,45,56766
1747908198815.687,45,56731
1747908198816.688,45,56682
1747908198817.563,45,56615
1747908198818.562,45,56540
1747908198819.563,45,56456
1747908198820.5618,45,56375
1747908198821.563,45,56305
1747908198822.562,46,56252
1747908198823.563,46,56210
1747908198824.562,46,56181
1747908198825.563,46,56174
1747908198826.562,46,56164
1747908198827.563,46,56155
1747908198828.562,46,56152
1747908198829.563,46,56153
1747908198830.562,46,56155
1747908198831.563,46,56150
1747908198832.562,46,56133
1747908198833.469,47,56091
1747908198834.469,47,56041
1747908198835.469,47,56002
1747908198836.469,47,55969
1747908198837.469,47,55938
1747908198838.469,47,55909
1747908198839.469,47,55874
1747908198840.469,47,55841
1747908198841.469,47,55825
1747908198842.469,47,55810
