Local: ,2025-05-08 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1746655200000.0
Timestamp,Seq No.,ECG data
1746694284582.375,21,52795
1746694284583.375,21,52862
1746694284584.375,22,52931
1746694284585.375,22,52999
1746694284586.375,22,53080
1746694284587.25,22,53143
1746694284588.25,22,53204
1746694284589.25,22,53266
1746694284590.25,22,53317
1746694284591.25,22,53367
1746694284592.25,22,53418
1746694284593.25,22,53469
1746694284594.25,22,53518
1746694284595.25,23,53574
1746694284596.25,23,53638
1746694284597.25,23,53704
1746694284598.25,23,53769
1746694284599.25,23,53832
1746694284600.25,23,53900
1746694284601.25,23,53969
1746694284602.25,23,54046
1746694284603.156,23,54110
1746694284604.156,23,54182
1746694284605.156,23,54237
1746694284606.156,24,54292
1746694284607.156,24,54343
1746694284608.156,24,54391
1746694284609.156,24,54426
1746694284610.156,24,54450
1746694284611.156,24,54483
1746694284612.156,24,54510
1746694284613.156,24,54538
1746694284614.156,24,54561
1746694284615.156,24,54586
1746694284616.156,24,54607
1746694284617.156,25,54637
1746694284618.156,25,54669
1746694284619.063,25,54707
1746694284620.062,25,54758
1746694284621.063,25,54803
1746694284622.062,25,54863
1746694284623.063,25,54930
1746694284624.062,25,54989
1746694284625.063,25,55036
1746694284626.062,25,55093
1746694284627.063,25,55127
1746694284628.062,26,55157
1746694284629.062,26,55190
1746694284630.063,26,55228
1746694284631.062,26,55264
1746694284632.063,26,55308
1746694284633.0618,26,55351
1746694284634.063,26,55396
1746694284634.937,26,55438
1746694284635.938,26,55469
1746694284636.937,26,55494
1746694284637.938,26,55512
1746694284638.937,27,55524
1746694284639.937,27,55539
1746694284640.938,27,55547
1746694284641.937,27,55559
1746694284642.938,27,55566
1746694284643.937,27,55587
1746694284644.938,27,55601
1746694284645.937,27,55617
1746694284646.938,27,55632
1746694284647.937,27,55641
1746694284648.938,27,55672
1746694284649.937,28,55705
1746694284650.844,28,55731
1746694284651.844,28,55764
1746694284652.844,28,55787
1746694284653.8442,28,55810
1746694284654.844,28,55838
1746694284655.844,28,55865
1746694284656.844,28,55892
1746694284657.844,28,55917
1746694284658.844,28,55944
1746694284659.844,28,55964
1746694284660.844,29,55984
1746694284661.844,29,56004
1746694284662.844,29,56016
1746694284663.844,29,56021
1746694284664.844,29,56035
1746694284665.844,29,56038
1746694284666.719,29,56056
1746694284667.719,29,56075
1746694284668.719,29,56087
1746694284669.719,29,56111
1746694284670.719,29,56129
1746694284671.719,30,56150
1746694284672.719,30,56158
1746694284673.719,30,56169
1746694284674.719,30,56166
1746694284675.719,30,56169
1746694284676.719,30,56176
1746694284677.7192,30,56185
1746694284678.719,30,56194
1746694284679.719,30,56197
1746694284680.719,30,56195
1746694284681.719,30,56191
1746694284682.625,31,56192
1746694284683.625,31,56191
1746694284684.625,31,56198
1746694284685.625,31,56199
1746694284686.625,31,56208
1746694284687.625,31,56206
1746694284688.625,31,56200
1746694284689.625,31,56193
1746694284690.625,31,56190
1746694284691.625,31,56189
1746694284692.625,31,56200
1746694284693.625,32,56213
1746694284694.625,32,56234
1746694284695.625,32,56252
1746694284696.625,32,56275
1746694284697.625,32,56288
1746694284698.531,32,56288
1746694284699.531,32,56285
1746694284700.531,32,56275
1746694284701.531,32,56264
1746694284702.531,32,56252
1746694284703.531,32,56252
1746694284704.531,33,56238
1746694284705.5308,33,56240
1746694284706.531,33,56244
1746694284707.531,33,56254
1746694284708.531,33,56273
1746694284709.531,33,56289
1746694284710.531,33,56316
1746694284711.531,33,56327
1746694284712.531,33,56342
1746694284713.531,33,56337
1746694284714.406,33,56333
1746694284715.406,34,56321
1746694284716.406,34,56301
1746694284717.406,34,56282
1746694284718.406,34,56270
1746694284719.406,34,56250
1746694284720.406,34,56234
1746694284721.406,34,56214
1746694284722.406,34,56192
1746694284723.406,34,56179
1746694284724.406,34,56161
1746694284725.406,34,56138
1746694284726.406,35,56126
1746694284727.406,35,56115
1746694284728.406,35,56108
1746694284729.406,35,56105
1746694284730.281,35,56095
1746694284731.281,35,56096
1746694284732.281,35,56094
1746694284733.281,35,56084
1746694284734.281,35,56084
1746694284735.281,35,56088
1746694284736.281,35,56074
1746694284737.281,36,56075
1746694284738.281,36,56075
1746694284739.281,36,56077
1746694284740.281,36,56074
1746694284741.281,36,56084
1746694284742.281,36,56078
1746694284743.281,36,56069
1746694284744.281,36,56060
1746694284745.281,36,56049
1746694284746.156,36,56033
1746694284747.156,36,56015
1746694284748.156,37,56001
1746694284749.156,37,55981
1746694284750.156,37,55958
1746694284751.156,37,55936
1746694284752.156,37,55906
1746694284753.156,37,55881
1746694284754.156,37,55859
1746694284755.156,37,55851
1746694284756.156,37,55828
1746694284757.156,37,55813
1746694284758.156,37,55791
1746694284759.156,38,55776
1746694284760.156,38,55771
1746694284761.156,38,55782
1746694284762.094,38,55798
1746694284763.094,38,55817
1746694284764.094,38,55826
1746694284765.094,38,55816
1746694284766.094,38,55803
1746694284767.094,38,55797
1746694284768.094,38,55783
1746694284769.094,38,55764
1746694284770.094,39,55733
1746694284771.094,39,55699
1746694284772.094,39,55659
1746694284773.094,39,55635
1746694284774.094,39,55601
1746694284775.094,39,55579
1746694284776.094,39,55564
1746694284777.094,39,55537
1746694284777.969,39,55514
1746694284778.969,39,55492
1746694284779.969,39,55471
1746694284780.969,40,55466
1746694284781.969,40,55449
1746694284782.969,40,55438
1746694284783.969,40,55416
1746694284784.969,40,55389
1746694284785.969,40,55362
1746694284786.969,40,55332
1746694284787.969,40,55313
1746694284788.969,40,55297
1746694284789.969,40,55290
1746694284790.969,40,55286
1746694284791.969,41,55289
1746694284792.969,41,55294
1746694284793.844,41,55287
1746694284794.844,41,55278
1746694284795.844,41,55263
1746694284796.844,41,55242
1746694284797.844,41,55216
1746694284798.844,41,55192
1746694284799.844,41,55152
1746694284800.844,41,55112
1746694284801.844,41,55073
1746694284802.844,42,55044
1746694284803.844,42,55030
1746694284804.844,42,55019
1746694284805.844,42,55012
1746694284806.844,42,55008
1746694284807.844,42,55005
1746694284808.844,42,54994
1746694284809.719,42,54988
1746694284810.719,42,54970
1746694284811.719,42,54953
1746694284812.719,42,54928
1746694284813.719,43,54895
1746694284814.719,43,54864
1746694284815.719,43,54814
1746694284816.719,43,54782
1746694284817.719,43,54747
1746694284818.719,43,54710
1746694284819.719,43,54688
1746694284820.719,43,54665
1746694284821.719,43,54646
1746694284822.719,43,54620
1746694284823.719,43,54604
1746694284824.719,44,54587
1746694284825.625,44,54575
1746694284826.625,44,54570
1746694284827.625,44,54560
1746694284828.625,44,54550
1746694284829.625,44,54538
1746694284830.625,44,54521
1746694284831.625,44,54509
1746694284832.625,44,54485
1746694284833.625,44,54466
1746694284834.625,44,54435
1746694284835.625,45,54410
1746694284836.625,45,54376
1746694284837.625,45,54347
1746694284838.625,45,54316
1746694284839.625,45,54294
1746694284840.625,45,54281
1746694284841.656,45,54260
1746694284842.656,45,54240
1746694284843.656,45,54206
1746694284844.656,45,54170
1746694284845.656,45,54127
1746694284846.656,46,54086
1746694284847.656,46,54038
1746694284848.656,46,53992
1746694284849.656,46,53954
1746694284850.656,46,53926
1746694284851.656,46,53906
1746694284852.656,46,53889
1746694284853.656,46,53876
1746694284854.656,46,53862
1746694284855.656,46,53853
1746694284856.656,46,53840
1746694284857.406,47,53830
1746694284858.406,47,53809
1746694284859.406,47,53781
1746694284860.406,47,53756
1746694284861.406,47,53728
1746694284862.406,47,53701
1746694284863.406,47,53680
1746694284864.406,47,53656
1746694284865.406,47,53628
1746694284866.406,47,53602
1746694284867.406,47,53571
1746694284868.406,48,53536
1746694284869.406,48,53506
1746694284870.406,48,53472
1746694284871.406,48,53454
1746694284872.406,48,53449
1746694284873.281,48,53438
1746694284874.281,48,53426
1746694284875.281,48,53420
1746694284876.281,48,53409
1746694284877.281,48,53397
1746694284878.281,48,53381
1746694284879.281,49,53357
1746694284880.281,49,53328
1746694284881.281,49,53309
1746694284882.281,49,53276
1746694284883.281,49,53250
1746694284884.281,49,53220
1746694284885.281,49,53191
1746694284886.281,49,53173
1746694284887.281,49,53154
1746694284888.281,49,53141
1746694284889.187,49,53111
1746694284890.188,50,53089
1746694284891.187,50,53062
1746694284892.188,50,53038
1746694284893.187,50,53009
