recording_1_ecgppg_biopac_clean_data.acq
Graph Created on: 2025-05-22 11:33:37.664
Recording on: 2025-05-22 11:43:51.760
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
milliSec	CH1	CH13	
	337805 samples	337805 samples	
206	1.88995	-0.110779	
207	1.88812	-0.114288	
208	1.88477	-0.115051	
209	1.88416	-0.11795	
210	1.8808	-0.120239	
211	1.87927	-0.12207	
212	1.87592	-0.122528	
213	1.875	-0.121307	
214	1.87225	-0.123138	
215	1.87012	-0.12619	
216	1.86676	-0.131531	
217	1.86493	-0.132294	
218	1.86371	-0.133057	
219	1.86066	-0.136414	
220	1.8576	-0.13443	
221	1.85608	-0.126953	
222	1.85425	-0.113983	
223	1.8512	-0.100708	
224	1.84937	-0.0953674	
225	1.84601	-0.0923157	
226	1.8457	-0.0878906	
227	1.84174	-0.0831604	
228	1.84052	-0.078125	
229	1.8396	-0.0740051	
230	1.83899	-0.0701904	
231	1.83533	-0.0602722	
232	1.83594	-0.045929	
233	1.83136	-0.0338745	
234	1.83044	-0.0259399	
235	1.82953	-0.0157166	
236	1.82587	0.000915527	
237	1.82373	0.0190735	
238	1.82159	0.0340271	
239	1.81946	0.0456238	
240	1.8161	0.0553894	
241	1.8158	0.0617981	
242	1.81244	0.0691223	
243	1.8103	0.0756836	
244	1.80634	0.0747681	
245	1.80481	0.0691223	
246	1.80145	0.068512	
247	1.7984	0.0653076	
248	1.79596	0.0611877	
249	1.79535	0.0553894	
250	1.78772	0.0453186	
251	1.78558	0.0263977	
252	1.78162	0.00579834	
253	1.78162	-0.00839233	
254	1.77795	-0.0193787	
255	1.77338	-0.032196	
256	1.77063	-0.0492859	
257	1.76666	-0.0773621	
258	1.763	-0.115051	
259	1.75842	-0.149078	
260	1.75812	-0.17395	
261	1.75354	-0.176544	
262	1.74866	-0.176392	
263	1.74377	-0.178833	
264	1.73828	-0.1828	
265	1.73737	-0.183411	
266	1.7337	-0.183563	
267	1.72913	-0.180664	
268	1.72791	-0.17807	
269	1.72272	-0.177002	
270	1.71783	-0.181274	
271	1.71692	-0.186157	
272	1.71204	-0.19455	
273	1.70898	-0.209351	
274	1.70715	-0.228577	
275	1.70288	-0.254517	
276	1.69739	-0.274658	
277	1.69373	-0.277405	
278	1.68945	-0.263977	
279	1.68732	-0.244598	
280	1.68518	-0.224152	
281	1.67999	-0.2034	
282	1.67725	-0.181885	
283	1.67542	-0.153961	
284	1.67023	-0.125885	
285	1.66565	-0.10498	
286	1.6629	-0.0840759	
287	1.65741	-0.0682068	
288	1.65405	-0.0566101	
289	1.65039	-0.0479126	
290	1.64612	-0.043335	
291	1.64307	-0.0419617	
292	1.63879	-0.0372314	
293	1.63147	-0.0334167	
294	1.62598	-0.0300598	
295	1.62384	-0.0267029	
296	1.61865	-0.0247192	
297	1.61407	-0.0244141	
298	1.60889	-0.022583	
299	1.60431	-0.0212097	
300	1.59668	-0.0201416	
301	1.59424	-0.0227356	
302	1.58966	-0.0238037	
303	1.58234	-0.0193787	
304	1.58051	-0.0109863	
305	1.57318	-0.00335693	
306	1.56677	-0.00259399	
307	1.56189	-0.00366211	
308	1.55823	-0.00350952	
309	1.55212	-0.000457764	
310	1.54785	-0.000152588	
311	1.54266	0.00183105	
312	1.53748	0.00289917	
313	1.5332	0.00488281	
314	1.52802	0.00473022	
315	1.52191	0.00747681	
316	1.51581	0.01297	
317	1.51123	0.0186157	
318	1.50665	0.0205994	
319	1.50146	0.0196838	
320	1.49658	0.0198364	
321	1.48926	0.0201416	
322	1.48651	0.0222778	
323	1.4801	0.0231934	
324	1.47308	0.0219727	
325	1.46881	0.0219727	
326	1.46423	0.0222778	
327	1.45844	0.0219727	
328	1.45203	0.0221252	
329	1.44806	0.0202942	
330	1.44318	0.0175476	
331	1.43555	0.0183105	
332	1.42822	0.0170898	
333	1.42242	0.017395	
334	1.41785	0.018158	
335	1.41327	0.0193787	
336	1.40533	0.0215149	
337	1.40076	0.0238037	
338	1.39587	0.0244141	
339	1.38977	0.0248718	
340	1.38336	0.0222778	
341	1.37817	0.0224304	
342	1.3739	0.0221252	
343	1.36963	0.0238037	
344	1.3623	0.0253296	
345	1.3559	0.0267029	
346	1.34949	0.0270081	
347	1.3446	0.0283813	
348	1.33911	0.0308228	
349	1.33209	0.0296021	
350	1.32813	0.0294495	
351	1.3208	0.0320435	
352	1.31561	0.0341797	
353	1.31165	0.0344849	
354	1.30219	0.0361633	
355	1.29761	0.0395203	
356	1.29211	0.0421143	
357	1.28632	0.043335	
358	1.28143	0.0418091	
359	1.27411	0.0415039	
360	1.2677	0.0457764	
361	1.2616	0.0492859	
362	1.25458	0.0509644	
363	1.24817	0.0531006	
364	1.24146	0.055542	
365	1.23779	0.0585938	
366	1.23016	0.0627136	
367	1.22467	0.0654602	
368	1.22009	0.0700378	
369	1.21429	0.0732422	
370	1.20728	0.0758362	
371	1.20026	0.075531	
372	1.19385	0.0758362	
373	1.18927	0.0752258	
374	1.18439	0.0762939	
375	1.17889	0.0801086	
376	1.17401	0.0831604	
377	1.16608	0.0888062	
378	1.16058	0.0982666	
379	1.15662	0.110016	
380	1.15112	0.117188	
381	1.14502	0.120239	
382	1.13983	0.123901	
383	1.13434	0.124664	
384	1.13037	0.126343	
385	1.12427	0.128784	
386	1.11938	0.131989	
387	1.11542	0.13504	
388	1.10962	0.13855	
389	1.10657	0.138855	
390	1.10291	0.140381	
391	1.09741	0.139313	
392	1.09283	0.137329	
393	1.08673	0.136871	
394	1.08154	0.137787	
395	1.08032	0.140228	
396	1.073	0.142365	
397	1.07025	0.146942	
398	1.06628	0.151367	
399	1.0611	0.149689	
400	1.05621	0.148163	
401	1.05072	0.144958	
402	1.04706	0.143127	
403	1.04248	0.144196	
404	1.0376	0.142517	
405	1.03607	0.143738	
406	1.02905	0.144348	
407	1.02417	0.144806	
408	1.02142	0.146332	
409	1.01379	0.148468	
410	1.01135	0.151062	
411	1.00677	0.15152	
412	1.00159	0.150757	
413	0.997314	0.149994	
414	0.992126	0.154266	
415	0.984497	0.158234	
416	0.979309	0.160675	
417	0.975037	0.161285	
418	0.969849	0.159454	
419	0.965271	0.161438	
420	0.957947	0.164337	
421	0.95459	0.166321	
422	0.950623	0.166016	
423	0.944214	0.165558	
424	0.93811	0.164185	
425	0.933533	0.163727	
426	0.926208	0.164185	
427	0.923767	0.166016	
428	0.916138	0.165558	
429	0.91095	0.162811	
430	0.906677	0.161438	
431	0.902405	0.163727	
432	0.895996	0.165863	
433	0.891418	0.166321	
434	0.886536	0.166168	
435	0.881958	0.166321	
436	0.875549	0.165405	
437	0.870972	0.163727	
438	0.865173	0.162964	
439	0.861816	0.158691	
440	0.857239	0.155792	
441	0.852661	0.153809	
442	0.846863	0.156403	
443	0.839844	0.157013	
444	0.835266	0.154419	
445	0.831909	0.152283	
446	0.829773	0.151367	
447	0.825806	0.151367	
448	0.820618	0.150909	
449	0.817566	0.146484	
450	0.813293	0.144653	
451	0.812683	0.144196	
452	0.808105	0.146484	
453	0.805969	0.150909	
454	0.802307	0.150757	
455	0.801086	0.149384	
456	0.797424	0.147247	
457	0.793762	0.146637	
458	0.791626	0.145874	
459	0.792236	0.146637	
460	0.791016	0.144806	
461	0.787964	0.143433	
462	0.786438	0.141144	
463	0.787964	0.138855	
464	0.786438	0.136719	
465	0.783081	0.136261	
466	0.782166	0.134583	
467	0.785828	0.132446	
468	0.787659	0.131378	
469	0.785522	0.129242	
470	0.787354	0.127716	
471	0.787964	0.126953	
472	0.788879	0.127716	
473	0.792236	0.127411	
474	0.795898	0.12558	
475	0.799561	0.127106	
476	0.801392	0.125885	
477	0.806274	0.124969	
478	0.811462	0.123749	
479	0.816956	0.119629	
480	0.822144	0.11734	
481	0.830383	0.117035	
482	0.835266	0.114746	
483	0.841675	0.110474	
484	0.85022	0.109863	
485	0.856018	0.109863	
