Local: ,2025-05-22 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1747864800000.0
Timestamp,Seq No.,ECG data
1747907046565.219,21,33504
1747907046566.219,21,33504
1747907046567.219,22,33489
1747907046568.219,22,33469
1747907046569.219,22,33454
1747907046570.094,22,33423
1747907046571.094,22,33405
1747907046572.094,22,33389
1747907046573.094,22,33375
1747907046574.094,22,33375
1747907046575.094,22,33366
1747907046576.094,22,33375
1747907046577.094,22,33379
1747907046578.094,23,33396
1747907046579.094,23,33412
1747907046580.094,23,33433
1747907046581.094,23,33436
1747907046582.094,23,33433
1747907046583.094,23,33433
1747907046584.094,23,33435
1747907046585.094,23,33430
1747907046586.0,23,33412
1747907046587.0,23,33389
1747907046588.0,23,33374
1747907046589.0,24,33363
1747907046590.0,24,33359
1747907046591.0,24,33359
1747907046592.0,24,33358
1747907046593.0,24,33349
1747907046594.0,24,33356
1747907046595.0,24,33366
1747907046596.0,24,33381
1747907046597.0,24,33386
1747907046598.0,24,33381
1747907046599.0,24,33370
1747907046600.0,25,33355
1747907046601.0,25,33344
1747907046601.906,25,33338
1747907046602.906,25,33333
1747907046603.906,25,33334
1747907046604.906,25,33331
1747907046605.906,25,33320
1747907046606.906,25,33314
1747907046607.906,25,33312
1747907046608.906,25,33308
1747907046609.906,25,33319
1747907046610.906,26,33326
1747907046611.906,26,33325
1747907046612.906,26,33317
1747907046613.906,26,33336
1747907046614.906,26,33418
1747907046615.906,26,33578
1747907046616.906,26,33832
1747907046617.781,26,34153
1747907046618.781,26,34545
1747907046619.781,26,34994
1747907046620.781,26,35499
1747907046621.781,27,36050
1747907046622.781,27,36631
1747907046623.781,27,37225
1747907046624.781,27,37827
1747907046625.781,27,38439
1747907046626.781,27,39050
1747907046627.781,27,39655
1747907046628.781,27,40240
1747907046629.781,27,40811
1747907046630.781,27,41361
1747907046631.781,27,41902
1747907046632.781,28,42424
1747907046633.625,28,42917
1747907046634.625,28,43416
1747907046635.625,28,43906
1747907046636.625,28,44388
1747907046637.625,28,44860
1747907046638.625,28,45338
1747907046639.625,28,45825
1747907046640.625,28,46313
1747907046641.625,28,46807
1747907046642.625,28,47305
1747907046643.625,29,47805
1747907046644.625,29,48340
1747907046645.625,29,48826
1747907046646.625,29,49328
1747907046647.625,29,49833
1747907046648.625,29,50332
1747907046649.5,29,50793
1747907046650.5,29,51257
1747907046651.5,29,51698
1747907046652.5,29,52153
1747907046653.5,29,52618
1747907046654.5,30,53084
1747907046655.5,30,53547
1747907046656.5,30,54004
1747907046657.5,30,54470
1747907046658.5,30,54946
1747907046659.5,30,55424
1747907046660.5,30,55888
1747907046661.5,30,56338
1747907046662.5,30,56761
1747907046663.5,30,57153
1747907046664.5,30,57531
1747907046665.406,31,57865
1747907046666.406,31,58168
1747907046667.406,31,58440
1747907046668.406,31,58679
1747907046669.406,31,58905
1747907046670.406,31,59104
1747907046671.406,31,59289
1747907046672.406,31,59437
1747907046673.406,31,59565
1747907046674.406,31,59661
1747907046675.406,31,59728
1747907046676.406,32,59782
1747907046677.406,32,59837
1747907046678.406,32,59867
1747907046679.406,32,59892
1747907046680.406,32,59906
1747907046681.281,32,59931
1747907046682.281,32,59935
1747907046683.281,32,59956
1747907046684.281,32,59966
1747907046685.281,32,59977
1747907046686.281,32,59988
1747907046687.281,33,59994
1747907046688.281,33,59991
1747907046689.281,33,59982
1747907046690.281,33,59998
1747907046691.281,33,59975
1747907046692.281,33,59997
1747907046693.281,33,59976
1747907046694.281,33,59993
1747907046695.281,33,59983
1747907046696.281,33,59973
1747907046697.219,33,59985
1747907046698.219,34,59987
1747907046699.219,34,59982
1747907046700.219,34,59978
1747907046701.219,34,59995
1747907046702.219,34,59990
1747907046703.219,34,59981
1747907046704.219,34,59995
1747907046705.219,34,59988
1747907046706.219,34,59982
1747907046707.219,34,59993
1747907046708.219,34,59982
1747907046709.219,35,59990
1747907046710.219,35,59990
1747907046711.219,35,59978
1747907046712.219,35,59993
1747907046713.031,35,59974
1747907046714.031,35,59981
1747907046715.031,35,59984
1747907046716.031,35,59989
1747907046717.031,35,59977
1747907046718.031,35,59993
1747907046719.031,35,59988
1747907046720.031,36,59980
1747907046721.031,36,59972
1747907046722.031,36,59986
1747907046723.031,36,59985
1747907046724.031,36,59977
1747907046725.031,36,59980
1747907046726.031,36,59978
1747907046727.031,36,59985
1747907046728.031,36,59988
1747907046728.906,36,59983
1747907046729.906,36,59978
1747907046730.906,37,59993
1747907046731.906,37,59987
1747907046732.906,37,59977
1747907046733.906,37,59976
1747907046734.906,37,59978
1747907046735.906,37,59989
1747907046736.906,37,59968
1747907046737.906,37,59971
1747907046738.906,37,59979
1747907046739.906,37,59992
1747907046740.906,37,59776
1747907046741.906,38,57274
1747907046742.906,38,53518
1747907046743.906,38,49759
1747907046744.813,38,46300
1747907046745.812,38,43233
1747907046746.813,38,40565
1747907046747.812,38,38382
1747907046748.813,38,36625
1747907046749.8118,38,35254
1747907046750.813,38,34216
1747907046751.812,38,33475
1747907046752.813,39,32992
1747907046753.812,39,32713
1747907046754.813,39,32573
1747907046755.812,39,32522
1747907046756.813,39,32542
1747907046757.812,39,32598
1747907046758.812,39,32691
1747907046759.813,39,32780
1747907046760.687,39,32860
1747907046761.688,39,32943
1747907046762.687,39,33015
1747907046763.688,40,33082
1747907046764.687,40,33133
1747907046765.688,40,33179
1747907046766.687,40,33205
1747907046767.688,40,33221
1747907046768.687,40,33241
1747907046769.687,40,33262
1747907046770.688,40,33267
1747907046771.687,40,33257
1747907046772.688,40,33249
1747907046773.6868,40,33231
1747907046774.688,41,33215
1747907046775.687,41,33197
1747907046776.563,41,33163
1747907046777.562,41,33133
1747907046778.563,41,33111
1747907046779.562,41,33098
1747907046780.562,41,33087
1747907046781.563,41,33080
1747907046782.562,41,33080
1747907046783.563,41,33084
1747907046784.562,41,33097
1747907046785.563,42,33101
1747907046786.562,42,33102
1747907046787.563,42,33099
1747907046788.562,42,33094
1747907046789.563,42,33081
1747907046790.562,42,33075
1747907046791.563,42,33075
1747907046792.406,42,33069
1747907046793.406,42,33057
1747907046794.406,42,33051
1747907046795.406,42,33042
1747907046796.406,43,33041
1747907046797.406,43,33037
1747907046798.406,43,33033
1747907046799.406,43,33033
1747907046800.406,43,33029
1747907046801.406,43,33028
1747907046802.406,43,33033
1747907046803.406,43,33034
1747907046804.406,43,33034
1747907046805.406,43,33033
1747907046806.406,43,33028
1747907046807.406,44,33019
1747907046808.281,44,33004
1747907046809.281,44,32991
1747907046810.281,44,32995
1747907046811.281,44,33000
1747907046812.281,44,33011
1747907046813.281,44,33019
1747907046814.281,44,33019
1747907046815.281,44,33017
1747907046816.281,44,33017
1747907046817.281,44,33019
1747907046818.281,45,33018
1747907046819.281,45,33009
1747907046820.281,45,32997
1747907046821.281,45,32982
1747907046822.2808,45,32981
1747907046823.281,45,32978
1747907046824.188,45,32963
1747907046825.187,45,32950
1747907046826.188,45,32946
1747907046827.187,45,32942
1747907046828.188,45,32949
1747907046829.187,46,32961
1747907046830.188,46,32972
1747907046831.187,46,32976
1747907046832.187,46,32991
1747907046833.188,46,33003
1747907046834.187,46,33003
1747907046835.188,46,33001
1747907046836.1868,46,32991
1747907046837.188,46,32985
1747907046838.187,46,32972
1747907046839.188,46,32958
1747907046840.094,47,32949
1747907046841.094,47,32927
1747907046842.094,47,32922
1747907046843.094,47,32930
1747907046844.094,47,32929
1747907046845.094,47,32931
1747907046846.094,47,32931
1747907046847.094,47,32930
1747907046848.094,47,32947
1747907046849.094,47,32963
1747907046850.094,47,32975
1747907046851.094,48,32986
1747907046852.094,48,32984
1747907046853.094,48,33005
1747907046854.094,48,33057
1747907046855.094,48,33167
1747907046855.969,48,33321
1747907046856.9692,48,33521
1747907046857.969,48,33752
1747907046858.969,48,34034
1747907046859.969,48,34349
1747907046860.969,48,34703
1747907046861.969,49,35082
1747907046862.969,49,35485
1747907046863.969,49,35965
1747907046864.969,49,36343
1747907046865.969,49,36771
1747907046866.969,49,37197
1747907046867.969,49,37614
1747907046868.969,49,38019
1747907046869.969,49,38405
1747907046870.969,49,38777
1747907046871.813,49,39126
1747907046872.812,50,39457
1747907046873.813,50,39779
1747907046874.8118,50,40098
1747907046875.813,50,40415
1747907046876.812,50,40719
1747907046877.813,50,41020
1747907046878.812,50,41321
1747907046879.813,50,41634
1747907046880.812,50,41967
1747907046881.813,50,42292
1747907046882.812,50,42621
1747907046883.812,51,42938
1747907046884.813,51,43239
1747907046885.812,51,43554
1747907046886.813,51,43863
1747907046887.719,51,44151
1747907046888.719,51,44426
1747907046889.719,51,44689
1747907046890.719,51,44955
1747907046891.719,51,45223
1747907046892.719,51,45491
1747907046893.719,51,45779
1747907046894.719,52,46040
1747907046895.719,52,46318
1747907046896.719,52,46602
1747907046897.719,52,46883
1747907046898.719,52,47155
1747907046899.719,52,47420
1747907046900.719,52,47685
1747907046901.719,52,47942
1747907046902.719,52,48192
1747907046903.594,52,48430
1747907046904.594,52,48662
1747907046905.594,53,48898
1747907046906.594,53,49132
1747907046907.594,53,49366
1747907046908.594,53,49602
1747907046909.594,53,49837
1747907046910.594,53,50072
1747907046911.594,53,50319
1747907046912.594,53,50575
1747907046913.594,53,50834
1747907046914.594,53,51087
1747907046915.594,53,51306
1747907046916.594,54,51527
1747907046917.594,54,51732
1747907046918.594,54,51936
1747907046919.4692,54,52138
1747907046920.469,54,52327
1747907046921.469,54,52525
1747907046922.469,54,52725
1747907046923.469,54,52945
1747907046924.469,54,53169
1747907046925.469,54,53405
1747907046926.469,54,53642
1747907046927.469,55,53882
1747907046928.469,55,54118
1747907046929.469,55,54350
1747907046930.469,55,54561
1747907046931.469,55,54766
1747907046932.469,55,54964
1747907046933.469,55,55152
1747907046934.469,55,55336
1747907046935.344,55,55507
1747907046936.344,55,55674
